gambusia_affinis ENSGAFG00000009625
xiphophorus_maculatus ENSXMAG00000028230
poecilia_mexicana ENSPMEG00000000889
poecilia_reticulata ENSPREG00000001544
poecilia_formosa ENSPFOG00000001488
poecilia_latipinna ENSPLAG00000015338
fundulus_heteroclitus ENSFHEG00000013577
cyprinodon_variegatus ENSCVAG00000000532
oryzias_latipes_asm223467v1 ENSORLG00000024067
oryzias_latipes_asm223471v1 ENSORLG00020011642
oryzias_latipes_asm223469v1 ENSORLG00015018584
oryzias_melastigma ENSOMEG00000017682
pundamilia_nyererei ENSPNYG00000022621
haplochromis_burtoni ENSHBUG00000019450
astatotilapia_calliptera ENSACLG00000000666
maylandia_zebra ENSMZEG00005027806
neolamprologus_brichardi ENSNBRG00000017565
oreochromis_niloticus ENSONIG00000007426
amphilophus_citrinellus ENSACIG00000024248
amphiprion_percula ENSAPEG00000021098
monopterus_albus ENSMALG00000009342
