monodelphis_domestica ENSMODG00000023064
sarcophilus_harrisii ENSSHAG00000007556
peromyscus_maniculatus_bairdii ENSPEMG00000025572
nannospalax_galili ENSNGAG00000021969
jaculus_jaculus ENSJJAG00000021723
castor_canadensis ENSCCNG00000011867
dipodomys_ordii ENSDORG00000025807
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006469
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016148
fukomys_damarensis ENSFDAG00000018217
cavia_porcellus ENSCPOG00000038901
octodon_degus ENSODEG00000016499
ursus_americanus ENSUAMG00000016832
ursus_maritimus ENSUMAG00000021379
panthera_tigris_altaica ENSPTIG00000020933
bos_mutus ENSBMUG00000001398
equus_caballus ENSECAG00000030655
equus_asinus_asinus ENSEASG00005005461
propithecus_coquereli ENSPCOG00000010278
carlito_syrichta ENSTSYG00000028745
loxodonta_africana ENSLAFG00000029380
