colobus_angolensis_palliatus ENSCANG00000041725
theropithecus_gelada ENSTGEG00000020044
prolemur_simus ENSPSMG00000023711
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005139
fukomys_damarensis ENSFDAG00000000635
equus_asinus_asinus ENSEASG00005010364
dasypus_novemcinctus ENSDNOG00000046304
phascolarctos_cinereus ENSPCIG00000023303
manacus_vitellinus ENSMVIG00005017947
melopsittacus_undulatus ENSMUNG00000015320
xiphophorus_couchianus ENSXCOG00000002875
cyprinodon_variegatus ENSCVAG00000003586
fundulus_heteroclitus ENSFHEG00000015157
