scophthalmus_maximus ENSSMAG00000008249
cynoglossus_semilaevis ENSCSEG00000001075
seriola_dumerili ENSSDUG00000021254
seriola_lalandi_dorsalis ENSSLDG00000021331
monopterus_albus ENSMALG00000002970
mastacembelus_armatus ENSMAMG00000002760
anabas_testudineus ENSATEG00000020324
amphiprion_ocellaris ENSAOCG00000017963
amphiprion_percula ENSAPEG00000007863
acanthochromis_polyacanthus ENSAPOG00000007534
stegastes_partitus ENSSPAG00000005097
poecilia_mexicana ENSPMEG00000007129
poecilia_latipinna ENSPLAG00000018017
xiphophorus_maculatus ENSXMAG00000025095
xiphophorus_couchianus ENSXCOG00000001710
gambusia_affinis ENSGAFG00000005078
cyprinodon_variegatus ENSCVAG00000005532
fundulus_heteroclitus ENSFHEG00000001618
kryptolebias_marmoratus ENSKMAG00000009713
oryzias_latipes_asm223467v1 ENSORLG00000024682
oryzias_latipes_asm223471v1 ENSORLG00020009506
oryzias_latipes_asm223469v1 ENSORLG00015006394
oryzias_melastigma ENSOMEG00000011917
haplochromis_burtoni ENSHBUG00000017898
pundamilia_nyererei ENSPNYG00000022638
neolamprologus_brichardi ENSNBRG00000002875
amphilophus_citrinellus ENSACIG00000016929
labrus_bergylta ENSLBEG00000028220
takifugu_rubripes ENSTRUG00000022379
periophthalmus_magnuspinnatus ENSPMGG00000004112
esox_lucius ENSELUG00000018984
astyanax_mexicanus ENSAMXG00000035766
pygocentrus_nattereri ENSPNAG00000004016
ictalurus_punctatus ENSIPUG00000001136
danio_rerio ENSDARG00000105617
paramormyrops_kingsleyae ENSPKIG00000007128
