monodelphis_domestica ENSMODG00000004172
phascolarctos_cinereus ENSPCIG00000037047
castor_canadensis ENSCCNG00000002226
dipodomys_ordii ENSDORG00000011025
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019776
cricetulus_griseus_crigri_1.0 ENSCGRG00000014022
cricetulus_griseus_crigri-picr ENSCGRG00015025710
peromyscus_maniculatus_bairdii ENSPEMG00000023483
microtus_ochrogaster ENSMOCG00000019880
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017153
mus_spicilegus ENSMSIG00000021642
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000063564
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016309
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017444
rattus_norvegicus ENSRNOG00000003349
rattus_norvegicus ENSRNOG00000046785
nannospalax_galili ENSNGAG00000022327
jaculus_jaculus ENSJJAG00000020773
chinchilla_lanigera ENSCLAG00000011420
cavia_aperea ENSCAPG00000013641
fukomys_damarensis ENSFDAG00000013540
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017555
urocitellus_parryii ENSUPAG00010017075
ictidomys_tridecemlineatus ENSSTOG00000004924
spermophilus_dauricus ENSSDAG00000017490
marmota_marmota_marmota ENSMMMG00000000725
oryctolagus_cuniculus ENSOCUG00000003217
ochotona_princeps ENSOPRG00000007204
homo_sapiens ENSG00000050767
pan_paniscus ENSPPAG00000041470
gorilla_gorilla ENSGGOG00000006904
pongo_abelii ENSPPYG00000016109
colobus_angolensis_palliatus ENSCANG00000033780
piliocolobus_tephrosceles ENSPTEG00000028487
rhinopithecus_roxellana ENSRROG00000033653
rhinopithecus_bieti ENSRBIG00000037938
mandrillus_leucophaeus ENSMLEG00000042074
theropithecus_gelada ENSTGEG00000016881
papio_anubis ENSPANG00000006848
macaca_nemestrina ENSMNEG00000036213
macaca_fascicularis ENSMFAG00000040567
cercocebus_atys ENSCATG00000009862
saimiri_boliviensis_boliviensis ENSSBOG00000025498
cebus_capucinus_imitator ENSCCAG00000024693
callithrix_jacchus ENSCJAG00000012175
aotus_nancymaae ENSANAG00000037234
carlito_syrichta ENSTSYG00000033686
propithecus_coquereli ENSPCOG00000017339
prolemur_simus ENSPSMG00000012256
microcebus_murinus ENSMICG00000005409
otolemur_garnettii ENSOGAG00000016950
bos_mutus ENSBMUG00000008240
bos_taurus ENSBTAG00000013183
bison_bison_bison ENSBBBG00000011098
ovis_aries ENSOARG00000006533
tursiops_truncatus ENSTTRG00000010615
sus_scrofa ENSSSCG00000014029
pteropus_vampyrus ENSPVAG00000016746
equus_asinus_asinus ENSEASG00005012585
canis_lupus_dingo ENSCAFG00020003626
canis_lupus_familiaris ENSCAFG00000000246
neovison_vison ENSNVIG00000023192
mustela_putorius_furo ENSMPUG00000000738
panthera_pardus ENSPPRG00000014776
panthera_tigris_altaica ENSPTIG00000021709
felis_catus ENSFCAG00000045286
procavia_capensis ENSPCAG00000006889
loxodonta_africana ENSLAFG00000030471
taeniopygia_guttata ENSTGUG00000001158
meleagris_gallopavo ENSMGAG00000007652
serinus_canaria ENSSCAG00000009257
xenopus_tropicalis ENSXETG00000011486
poecilia_reticulata ENSPREG00000015590
xiphophorus_maculatus ENSXMAG00000012260
oryzias_melastigma ENSOMEG00000011484
cyprinodon_variegatus ENSCVAG00000014202
neolamprologus_brichardi ENSNBRG00000000546
amphilophus_citrinellus ENSACIG00000002673
pundamilia_nyererei ENSPNYG00000010919
astatotilapia_calliptera ENSACLG00000010408
stegastes_partitus ENSSPAG00000021976
seriola_dumerili ENSSDUG00000002028
takifugu_rubripes ENSTRUG00000013636
hippocampus_comes ENSHCOG00000006070
pygocentrus_nattereri ENSPNAG00000028469
astyanax_mexicanus ENSAMXG00000036148
danio_rerio ENSDARG00000105274
scleropages_formosus ENSSFOG00015023923
oreochromis_niloticus ENSONIG00000011602
haplochromis_burtoni ENSHBUG00000008914
seriola_dumerili ENSSDUG00000003688
seriola_lalandi_dorsalis ENSSLDG00000022810
amphilophus_citrinellus ENSACIG00000019932
anabas_testudineus ENSATEG00000017332
kryptolebias_marmoratus ENSKMAG00000015778
cyprinodon_variegatus ENSCVAG00000011239
oryzias_latipes_asm223469v1 ENSORLG00015014296
oryzias_latipes_asm223471v1 ENSORLG00020015514
oryzias_latipes_asm223467v1 ENSORLG00000014551
oryzias_melastigma ENSOMEG00000008056
tetraodon_nigroviridis ENSTNIG00000007591
ictalurus_punctatus ENSIPUG00000021326
astyanax_mexicanus ENSAMXG00000042273
pygocentrus_nattereri ENSPNAG00000000835
danio_rerio ENSDARG00000092064
danio_rerio ENSDARG00000069692
lepisosteus_oculatus ENSLOCG00000015617
paramormyrops_kingsleyae ENSPKIG00000002237
esox_lucius ENSELUG00000011894
anser_brachyrhynchus ENSABRG00000001002
poecilia_reticulata ENSPREG00000003594
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003023
