marmota_marmota_marmota ENSMMMG00000004165
urocitellus_parryii ENSUPAG00010006227
spermophilus_dauricus ENSSDAG00000024131
castor_canadensis ENSCCNG00000008734
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016183
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015668
chinchilla_lanigera ENSCLAG00000016674
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010409
cricetulus_griseus_crigri-picr ENSCGRG00015005329
mesocricetus_auratus ENSMAUG00000010726
microtus_ochrogaster ENSMOCG00000001617
peromyscus_maniculatus_bairdii ENSPEMG00000027247
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020950
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000047108
mus_spicilegus ENSMSIG00000028531
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020052
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020054
rattus_norvegicus ENSRNOG00000019187
meriones_unguiculatus ENSMUGG00000001641
oryctolagus_cuniculus ENSOCUG00000009651
ochotona_princeps ENSOPRG00000006726
prolemur_simus ENSPSMG00000002153
otolemur_garnettii ENSOGAG00000016936
pan_troglodytes ENSPTRG00000014416
pan_paniscus ENSPPAG00000025760
gorilla_gorilla ENSGGOG00000003936
homo_sapiens ENSG00000172404
pongo_abelii ENSPPYG00000011860
nomascus_leucogenys ENSNLEG00000015434
rhinopithecus_roxellana ENSRROG00000043697
piliocolobus_tephrosceles ENSPTEG00000032539
theropithecus_gelada ENSTGEG00000008388
callithrix_jacchus ENSCJAG00000004759
piliocolobus_tephrosceles ENSPTEG00000013428
callithrix_jacchus ENSCJAG00000039322
spermophilus_dauricus ENSSDAG00000019062
bos_taurus ENSBTAG00000006205
bos_mutus ENSBMUG00000016085
capra_hircus ENSCHIG00000012831
tursiops_truncatus ENSTTRG00000011512
vicugna_pacos ENSVPAG00000004897
sus_scrofa ENSSSCG00000034801
ursus_maritimus ENSUMAG00000021748
ailuropoda_melanoleuca ENSAMEG00000019443
neovison_vison ENSNVIG00000000663
mustela_putorius_furo ENSMPUG00000019596
canis_lupus_familiaris ENSCAFG00000001137
pteropus_vampyrus ENSPVAG00000011913
myotis_lucifugus ENSMLUG00000007809
erinaceus_europaeus ENSEEUG00000012215
equus_asinus_asinus ENSEASG00005001736
equus_caballus ENSECAG00000031062
vulpes_vulpes ENSVVUG00000006910
canis_lupus_dingo ENSCAFG00020002103
ursus_americanus ENSUAMG00000010007
bison_bison_bison ENSBBBG00000016560
colobus_angolensis_palliatus ENSCANG00000022779
loxodonta_africana ENSLAFG00000007309
procavia_capensis ENSPCAG00000012759
dasypus_novemcinctus ENSDNOG00000040305
