ficedula_albicollis ENSFALG00000010960
junco_hyemalis ENSJHYG00000011767
parus_major ENSPMJG00000014617
lepidothrix_coronata ENSLCOG00000001803
gallus_gallus ENSGALG00000028573
coturnix_japonica ENSCJPG00005010206
numida_meleagris ENSNMEG00000016456
calidris_pugnax ENSCPUG00000001983
calidris_pygmaea ENSCPGG00000003918
crocodylus_porosus ENSCPRG00005009978
chelonoidis_abingdonii ENSCABG00000010971
sphenodon_punctatus ENSSPUG00000008014
equus_caballus ENSECAG00000023121
equus_asinus_asinus ENSEASG00005001027
erinaceus_europaeus ENSEEUG00000008240
pteropus_vampyrus ENSPVAG00000013829
myotis_lucifugus ENSMLUG00000008029
ursus_americanus ENSUAMG00000009027
ailuropoda_melanoleuca ENSAMEG00000013738
neovison_vison ENSNVIG00000013925
mustela_putorius_furo ENSMPUG00000013801
canis_lupus_dingo ENSCAFG00020008102
canis_lupus_familiaris ENSCAFG00000001549
vulpes_vulpes ENSVVUG00000026533
felis_catus ENSFCAG00000032848
panthera_pardus ENSPPRG00000024200
ovis_aries ENSOARG00000016419
capra_hircus ENSCHIG00000018533
bos_mutus ENSBMUG00000023869
bos_taurus ENSBTAG00000001074
bison_bison_bison ENSBBBG00000002532
tursiops_truncatus ENSTTRG00000000424
sus_scrofa ENSSSCG00000033246
vicugna_pacos ENSVPAG00000001234
macaca_fascicularis ENSMFAG00000045847
macaca_nemestrina ENSMNEG00000037786
cercocebus_atys ENSCATG00000035797
papio_anubis ENSPANG00000024969
theropithecus_gelada ENSTGEG00000029572
mandrillus_leucophaeus ENSMLEG00000034930
piliocolobus_tephrosceles ENSPTEG00000034041
colobus_angolensis_palliatus ENSCANG00000027684
rhinopithecus_bieti ENSRBIG00000036825
rhinopithecus_roxellana ENSRROG00000041669
pan_troglodytes ENSPTRG00000018132
pan_paniscus ENSPPAG00000035363
gorilla_gorilla ENSGGOG00000016020
homo_sapiens ENSG00000112167
pongo_abelii ENSPPYG00000016573
cebus_capucinus_imitator ENSCCAG00000028889
saimiri_boliviensis_boliviensis ENSSBOG00000032289
callithrix_jacchus ENSCJAG00000041718
aotus_nancymaae ENSANAG00000023042
carlito_syrichta ENSTSYG00000002887
microcebus_murinus ENSMICG00000035440
propithecus_coquereli ENSPCOG00000005418
otolemur_garnettii ENSOGAG00000032800
urocitellus_parryii ENSUPAG00010016843
ictidomys_tridecemlineatus ENSSTOG00000026699
marmota_marmota_marmota ENSMMMG00000024448
castor_canadensis ENSCCNG00000008567
chinchilla_lanigera ENSCLAG00000008142
cavia_porcellus ENSCPOG00000015443
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017010
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009743
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019858
mus_spicilegus ENSMSIG00000022611
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000045107
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018980
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029994
rattus_norvegicus ENSRNOG00000006341
meriones_unguiculatus ENSMUGG00000019341
microtus_ochrogaster ENSMOCG00000017162
peromyscus_maniculatus_bairdii ENSPEMG00000026328
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000216
cricetulus_griseus_crigri-picr ENSCGRG00015017816
cricetulus_griseus_crigri_1.0 ENSCGRG00000000339
mesocricetus_auratus ENSMAUG00000018997
nannospalax_galili ENSNGAG00000000751
jaculus_jaculus ENSJJAG00000015133
ochotona_princeps ENSOPRG00000011321
tupaia_belangeri ENSTBEG00000000253
sorex_araneus ENSSARG00000006329
procavia_capensis ENSPCAG00000005238
echinops_telfairi ENSETEG00000007760
chlorocebus_sabaeus ENSCSAG00000011000
macaca_mulatta ENSMMUG00000015747
nomascus_leucogenys ENSNLEG00000031974
prolemur_simus ENSPSMG00000006985
fukomys_damarensis ENSFDAG00000001859
panthera_tigris_altaica ENSPTIG00000008495
ursus_maritimus ENSUMAG00000005485
oryctolagus_cuniculus ENSOCUG00000021575
loxodonta_africana ENSLAFG00000004332
dasypus_novemcinctus ENSDNOG00000034674
phascolarctos_cinereus ENSPCIG00000010932
notamacropus_eugenii ENSMEUG00000007109
sarcophilus_harrisii ENSSHAG00000007501
monodelphis_domestica ENSMODG00000013170
ornithorhynchus_anatinus ENSOANG00000013161
anolis_carolinensis ENSACAG00000002015
pogona_vitticeps ENSPVIG00000019724
salvator_merianae ENSSMRG00000005265
xenopus_tropicalis ENSXETG00000032971
astyanax_mexicanus ENSAMXG00000039775
pygocentrus_nattereri ENSPNAG00000012552
ictalurus_punctatus ENSIPUG00000022029
danio_rerio ENSDARG00000043687
esox_lucius ENSELUG00000009661
esox_lucius ENSELUG00000009645
monopterus_albus ENSMALG00000022143
anabas_testudineus ENSATEG00000018192
seriola_dumerili ENSSDUG00000004555
seriola_lalandi_dorsalis ENSSLDG00000024075
takifugu_rubripes ENSTRUG00000017938
scophthalmus_maximus ENSSMAG00000001482
cynoglossus_semilaevis ENSCSEG00000003948
stegastes_partitus ENSSPAG00000013782
stegastes_partitus ENSSPAG00000013785
acanthochromis_polyacanthus ENSAPOG00000009239
astatotilapia_calliptera ENSACLG00000025382
haplochromis_burtoni ENSHBUG00000002326
maylandia_zebra ENSMZEG00005002413
pundamilia_nyererei ENSPNYG00000023422
neolamprologus_brichardi ENSNBRG00000022704
oreochromis_niloticus ENSONIG00000005843
amphilophus_citrinellus ENSACIG00000009840
poecilia_formosa ENSPFOG00000018398
poecilia_latipinna ENSPLAG00000019546
poecilia_mexicana ENSPMEG00000012537
poecilia_reticulata ENSPREG00000009443
xiphophorus_maculatus ENSXMAG00000021757
xiphophorus_couchianus ENSXCOG00000001685
gambusia_affinis ENSGAFG00000002113
cyprinodon_variegatus ENSCVAG00000002838
fundulus_heteroclitus ENSFHEG00000020655
kryptolebias_marmoratus ENSKMAG00000019958
oryzias_latipes_asm223469v1 ENSORLG00015012517
oryzias_latipes_asm223471v1 ENSORLG00020017548
oryzias_latipes_asm223467v1 ENSORLG00000011330
oryzias_melastigma ENSOMEG00000022631
labrus_bergylta ENSLBEG00000012406
mola_mola ENSMMOG00000015678
gasterosteus_aculeatus ENSGACG00000008112
amphiprion_percula ENSAPEG00000008712
amphiprion_ocellaris ENSAOCG00000004290
mastacembelus_armatus ENSMAMG00000003722
hippocampus_comes ENSHCOG00000004097
periophthalmus_magnuspinnatus ENSPMGG00000005033
gadus_morhua ENSGMOG00000004958
scleropages_formosus ENSSFOG00015003077
paramormyrops_kingsleyae ENSPKIG00000003596
drosophila_melanogaster FBgn0039291
caenorhabditis_elegans_strain_n2 WBGene00015744
