gambusia_affinis ENSGAFG00000010815
xiphophorus_couchianus ENSXCOG00000005672
fundulus_heteroclitus ENSFHEG00000018513
xiphophorus_maculatus ENSXMAG00000029427
xiphophorus_couchianus ENSXCOG00000008805
kryptolebias_marmoratus ENSKMAG00000017064
kryptolebias_marmoratus ENSKMAG00000017071
poecilia_reticulata ENSPREG00000005430
poecilia_latipinna ENSPLAG00000001722
xiphophorus_maculatus ENSXMAG00000026054
poecilia_latipinna ENSPLAG00000001732
poecilia_mexicana ENSPMEG00000005079
cyprinodon_variegatus ENSCVAG00000015595
cyprinodon_variegatus ENSCVAG00000010657
cyprinodon_variegatus ENSCVAG00000010665
cyprinodon_variegatus ENSCVAG00000010677
cyprinodon_variegatus ENSCVAG00000002618
cyprinodon_variegatus ENSCVAG00000010704
fundulus_heteroclitus ENSFHEG00000020563
kryptolebias_marmoratus ENSKMAG00000016050
amphiprion_percula ENSAPEG00000015604
amphiprion_ocellaris ENSAOCG00000001751
amphiprion_percula ENSAPEG00000015633
amphiprion_ocellaris ENSAOCG00000023971
stegastes_partitus ENSSPAG00000002386
amphiprion_ocellaris ENSAOCG00000006063
acanthochromis_polyacanthus ENSAPOG00000003606
stegastes_partitus ENSSPAG00000001129
oryzias_latipes_asm223467v1 ENSORLG00000019929
oryzias_latipes_asm223471v1 ENSORLG00020010679
pundamilia_nyererei ENSPNYG00000023734
neolamprologus_brichardi ENSNBRG00000000107
anabas_testudineus ENSATEG00000020494
monopterus_albus ENSMALG00000019264
labrus_bergylta ENSLBEG00000011947
labrus_bergylta ENSLBEG00000016273
labrus_bergylta ENSLBEG00000012348
anabas_testudineus ENSATEG00000020475
haplochromis_burtoni ENSHBUG00000018826
pundamilia_nyererei ENSPNYG00000023670
maylandia_zebra ENSMZEG00005022141
amphilophus_citrinellus ENSACIG00000018027
scophthalmus_maximus ENSSMAG00000004691
