poecilia_latipinna ENSPLAG00000019991
pundamilia_nyererei ENSPNYG00000006504
periophthalmus_magnuspinnatus ENSPMGG00000020685
esox_lucius ENSELUG00000008060
pygocentrus_nattereri ENSPNAG00000022098
esox_lucius ENSELUG00000015320
oryzias_latipes_asm223469v1 ENSORLG00015011799
oryzias_latipes_asm223467v1 ENSORLG00000023990
cyprinodon_variegatus ENSCVAG00000001587
xiphophorus_maculatus ENSXMAG00000027135
neolamprologus_brichardi ENSNBRG00000017632
maylandia_zebra ENSMZEG00005027198
taeniopygia_guttata ENSTGUG00000013888
coturnix_japonica ENSCJPG00005020487
gopherus_agassizii ENSGAGG00000005052
chelonoidis_abingdonii ENSCABG00000018775
octodon_degus ENSODEG00000008499
mesocricetus_auratus ENSMAUG00000014547
capra_hircus ENSCHIG00000015461
sus_scrofa ENSSSCG00000015681
canis_lupus_dingo ENSCAFG00020016205
ursus_americanus ENSUAMG00000018028
cricetulus_griseus_crigri_1.0 ENSCGRG00000000117
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024491
microtus_ochrogaster ENSMOCG00000008295
meriones_unguiculatus ENSMUGG00000024198
nannospalax_galili ENSNGAG00000009773
spermophilus_dauricus ENSSDAG00000019051
castor_canadensis ENSCCNG00000007349
rhinopithecus_roxellana ENSRROG00000042003
rhinopithecus_bieti ENSRBIG00000037782
mandrillus_leucophaeus ENSMLEG00000029702
propithecus_coquereli ENSPCOG00000016661
prolemur_simus ENSPSMG00000006813
latimeria_chalumnae ENSLACG00000006182
