felis_catus ENSFCAG00000043020
panthera_pardus ENSPPRG00000012223
bison_bison_bison ENSBBBG00000005774
macaca_nemestrina ENSMNEG00000033699
macaca_fascicularis ENSMFAG00000032284
cercocebus_atys ENSCATG00000040420
theropithecus_gelada ENSTGEG00000017939
piliocolobus_tephrosceles ENSPTEG00000025534
rhinopithecus_roxellana ENSRROG00000020752
rhinopithecus_bieti ENSRBIG00000037473
colobus_angolensis_palliatus ENSCANG00000028864
homo_sapiens ENSG00000223573
pan_troglodytes ENSPTRG00000047440
gorilla_gorilla ENSGGOG00000037778
cebus_capucinus_imitator ENSCCAG00000026043
callithrix_jacchus ENSCJAG00000046186
aotus_nancymaae ENSANAG00000037718
propithecus_coquereli ENSPCOG00000021608
microcebus_murinus ENSMICG00000042381
cricetulus_griseus_crigri-picr ENSCGRG00015002607
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024474
cricetulus_griseus_crigri_1.0 ENSCGRG00000011621
mesocricetus_auratus ENSMAUG00000006706
microtus_ochrogaster ENSMOCG00000016977
peromyscus_maniculatus_bairdii ENSPEMG00000023023
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000110218
mus_spicilegus ENSMSIG00000011295
meriones_unguiculatus ENSMUGG00000005812
nannospalax_galili ENSNGAG00000021324
jaculus_jaculus ENSJJAG00000015733
chinchilla_lanigera ENSCLAG00000007870
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017464
castor_canadensis ENSCCNG00000007821
urocitellus_parryii ENSUPAG00010023624
ictidomys_tridecemlineatus ENSSTOG00000029515
phascolarctos_cinereus ENSPCIG00000032018
anser_brachyrhynchus ENSABRG00000016315
junco_hyemalis ENSJHYG00000013942
calidris_pygmaea ENSCPGG00000009149
apteryx_haastii ENSAHAG00000013002
gopherus_agassizii ENSGAGG00000008428
sphenodon_punctatus ENSSPUG00000009844
