ursus_americanus ENSUAMG00000002288
ursus_maritimus ENSUMAG00000008962
mustela_putorius_furo ENSMPUG00000007391
vulpes_vulpes ENSVVUG00000000189
canis_lupus_dingo ENSCAFG00020023875
bos_taurus ENSBTAG00000051803
capra_hircus ENSCHIG00000007320
sus_scrofa ENSSSCG00000033012
equus_asinus_asinus ENSEASG00005011885
rhinopithecus_roxellana ENSRROG00000037037
rhinopithecus_bieti ENSRBIG00000030871
papio_anubis ENSPANG00000035175
dasypus_novemcinctus ENSDNOG00000034690
castor_canadensis ENSCCNG00000006341
cavia_porcellus ENSCPOG00000039531
meriones_unguiculatus ENSMUGG00000015596
ictidomys_tridecemlineatus ENSSTOG00000030888
urocitellus_parryii ENSUPAG00010010757
phascolarctos_cinereus ENSPCIG00000011457
numida_meleagris ENSNMEG00000006897
gallus_gallus ENSGALG00000046568
anser_brachyrhynchus ENSABRG00000001966
calidris_pygmaea ENSCPGG00000010534
calidris_pugnax ENSCPUG00000014962
apteryx_haastii ENSAHAG00000017283
apteryx_owenii ENSAOWG00000018896
apteryx_rowi ENSARWG00000002782
dromaius_novaehollandiae ENSDNVG00000017158
nothoprocta_perdicaria ENSNPEG00000000156
crocodylus_porosus ENSCPRG00005017062
gopherus_agassizii ENSGAGG00000003808
chelonoidis_abingdonii ENSCABG00000002899
chrysemys_picta_bellii ENSCPBG00000025530
notechis_scutatus ENSNSUG00000003209
pogona_vitticeps ENSPVIG00000023687
salvator_merianae ENSSMRG00000019010
sphenodon_punctatus ENSSPUG00000001684
