bison_bison_bison ENSBBBG00000018397
bos_mutus ENSBMUG00000020602
bos_taurus ENSBTAG00000013417
ovis_aries ENSOARG00000016083
capra_hircus ENSCHIG00000013512
sus_scrofa ENSSSCG00000036242
ursus_maritimus ENSUMAG00000011298
ursus_americanus ENSUAMG00000009704
ailuropoda_melanoleuca ENSAMEG00000001106
theropithecus_gelada ENSTGEG00000010984
chlorocebus_sabaeus ENSCSAG00000005382
piliocolobus_tephrosceles ENSPTEG00000035014
prolemur_simus ENSPSMG00000016621
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022491
mus_spicilegus ENSMSIG00000011340
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021277
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020384
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020383
rattus_norvegicus ENSRNOG00000036826
peromyscus_maniculatus_bairdii ENSPEMG00000007279
microtus_ochrogaster ENSMOCG00000020429
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016454
cricetulus_griseus_crigri-picr ENSCGRG00015028702
cricetulus_griseus_crigri_1.0 ENSCGRG00000009315
jaculus_jaculus ENSJJAG00000016549
urocitellus_parryii ENSUPAG00010020301
marmota_marmota_marmota ENSMMMG00000003992
spermophilus_dauricus ENSSDAG00000019355
castor_canadensis ENSCCNG00000012020
dasypus_novemcinctus ENSDNOG00000041936
