crocodylus_porosus ENSCPRG00005015222
chelonoidis_abingdonii ENSCABG00000018830
anolis_carolinensis ENSACAG00000022472
sphenodon_punctatus ENSSPUG00000009010
calidris_pugnax ENSCPUG00000005571
calidris_pygmaea ENSCPGG00000010640
taeniopygia_guttata ENSTGUG00000001746
lonchura_striata_domestica ENSLSDG00000013261
zonotrichia_albicollis ENSZALG00000008489
cyanistes_caeruleus ENSCCEG00000001194
parus_major ENSPMJG00000005214
lepidothrix_coronata ENSLCOG00000013631
manacus_vitellinus ENSMVIG00005013717
ficedula_albicollis ENSFALG00000009832
meleagris_gallopavo ENSMGAG00000017017
gallus_gallus ENSGALG00000005839
coturnix_japonica ENSCJPG00005005682
numida_meleagris ENSNMEG00000015260
apteryx_rowi ENSARWG00000006437
dromaius_novaehollandiae ENSDNVG00000003414
anas_platyrhynchos_platyrhynchos ENSAPLG00000007857
pogona_vitticeps ENSPVIG00000008184
pelodiscus_sinensis ENSPSIG00000012378
latimeria_chalumnae ENSLACG00000006716
scleropages_formosus ENSSFOG00015017258
paramormyrops_kingsleyae ENSPKIG00000016979
esox_lucius ENSELUG00000022604
astyanax_mexicanus ENSAMXG00000019435
pygocentrus_nattereri ENSPNAG00000024948
ictalurus_punctatus ENSIPUG00000008074
danio_rerio ENSDARG00000067729
lepisosteus_oculatus ENSLOCG00000006663
scophthalmus_maximus ENSSMAG00000016993
cynoglossus_semilaevis ENSCSEG00000008983
mastacembelus_armatus ENSMAMG00000017909
monopterus_albus ENSMALG00000007567
anabas_testudineus ENSATEG00000010618
amphiprion_ocellaris ENSAOCG00000016324
amphiprion_percula ENSAPEG00000012743
stegastes_partitus ENSSPAG00000011996
astatotilapia_calliptera ENSACLG00000017567
maylandia_zebra ENSMZEG00005018451
pundamilia_nyererei ENSPNYG00000006357
oreochromis_niloticus ENSONIG00000013925
neolamprologus_brichardi ENSNBRG00000008813
amphilophus_citrinellus ENSACIG00000001080
poecilia_formosa ENSPFOG00000022094
xiphophorus_maculatus ENSXMAG00000023890
cyprinodon_variegatus ENSCVAG00000016872
kryptolebias_marmoratus ENSKMAG00000016848
oryzias_latipes_asm223467v1 ENSORLG00000017354
oryzias_latipes_asm223469v1 ENSORLG00015005159
oryzias_latipes_asm223471v1 ENSORLG00020014241
oryzias_melastigma ENSOMEG00000023548
seriola_lalandi_dorsalis ENSSLDG00000011296
seriola_dumerili ENSSDUG00000008748
takifugu_rubripes ENSTRUG00000013561
periophthalmus_magnuspinnatus ENSPMGG00000013423
hippocampus_comes ENSHCOG00000001493
equus_caballus ENSECAG00000019080
equus_asinus_asinus ENSEASG00005003935
pteropus_vampyrus ENSPVAG00000014819
sorex_araneus ENSSARG00000013651
myotis_lucifugus ENSMLUG00000022582
bos_taurus ENSBTAG00000025792
bos_mutus ENSBMUG00000018059
bison_bison_bison ENSBBBG00000012183
capra_hircus ENSCHIG00000016886
ovis_aries ENSOARG00000009192
tursiops_truncatus ENSTTRG00000005673
sus_scrofa ENSSSCG00000010971
vicugna_pacos ENSVPAG00000002407
ursus_americanus ENSUAMG00000017575
ursus_maritimus ENSUMAG00000006178
ailuropoda_melanoleuca ENSAMEG00000014585
mustela_putorius_furo ENSMPUG00000004275
neovison_vison ENSNVIG00000024054
canis_lupus_familiaris ENSCAFG00000024873
canis_lupus_dingo ENSCAFG00020016021
vulpes_vulpes ENSVVUG00000020967
panthera_pardus ENSPPRG00000015652
panthera_tigris_altaica ENSPTIG00000020288
felis_catus ENSFCAG00000003156
castor_canadensis ENSCCNG00000019472
dipodomys_ordii ENSDORG00000001723
peromyscus_maniculatus_bairdii ENSPEMG00000009842
microtus_ochrogaster ENSMOCG00000006350
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024423
cricetulus_griseus_crigri-picr ENSCGRG00015004247
cricetulus_griseus_crigri_1.0 ENSCGRG00000016671
mesocricetus_auratus ENSMAUG00000016073
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000066224
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026870
mus_spicilegus ENSMSIG00000005538
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025921
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024045
rattus_norvegicus ENSRNOG00000013416
meriones_unguiculatus ENSMUGG00000019322
nannospalax_galili ENSNGAG00000019774
jaculus_jaculus ENSJJAG00000022167
ictidomys_tridecemlineatus ENSSTOG00000002820
urocitellus_parryii ENSUPAG00010006965
marmota_marmota_marmota ENSMMMG00000008261
cavia_porcellus ENSCPOG00000001541
chinchilla_lanigera ENSCLAG00000001330
octodon_degus ENSODEG00000015133
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011758
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015234
fukomys_damarensis ENSFDAG00000021484
