cricetulus_griseus_crigri-picr ENSCGRG00015017779
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009719
cricetulus_griseus_crigri_1.0 ENSCGRG00000007352
mesocricetus_auratus ENSMAUG00000004552
peromyscus_maniculatus_bairdii ENSPEMG00000008250
rattus_norvegicus ENSRNOG00000053351
rattus_norvegicus ENSRNOG00000040010
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000059626
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000071772
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000095601
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000080933
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000079636
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000095510
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000071769
meriones_unguiculatus ENSMUGG00000002476
