phascolarctos_cinereus ENSPCIG00000029938
sarcophilus_harrisii ENSSHAG00000013167
notamacropus_eugenii ENSMEUG00000000857
monodelphis_domestica ENSMODG00000018234
ornithorhynchus_anatinus ENSOANG00000000733
anas_platyrhynchos_platyrhynchos ENSAPLG00000013011
gallus_gallus ENSGALG00000040393
calidris_pugnax ENSCPUG00000003147
calidris_pygmaea ENSCPGG00000019117
lepidothrix_coronata ENSLCOG00000012865
manacus_vitellinus ENSMVIG00005019232
lonchura_striata_domestica ENSLSDG00000017831
taeniopygia_guttata ENSTGUG00000012714
serinus_canaria ENSSCAG00000010516
junco_hyemalis ENSJHYG00000008406
ficedula_albicollis ENSFALG00000002596
parus_major ENSPMJG00000001276
melopsittacus_undulatus ENSMUNG00000015557
apteryx_rowi ENSARWG00000017346
nothoprocta_perdicaria ENSNPEG00000007165
dromaius_novaehollandiae ENSDNVG00000001669
meleagris_gallopavo ENSMGAG00000016003
numida_meleagris ENSNMEG00000004945
anser_brachyrhynchus ENSABRG00000022389
cyanistes_caeruleus ENSCCEG00000019115
crocodylus_porosus ENSCPRG00005001511
pogona_vitticeps ENSPVIG00000018906
anolis_carolinensis ENSACAG00000004448
notechis_scutatus ENSNSUG00000006427
salvator_merianae ENSSMRG00000008141
sphenodon_punctatus ENSSPUG00000018602
chrysemys_picta_bellii ENSCPBG00000000428
chelonoidis_abingdonii ENSCABG00000010616
cebus_capucinus_imitator ENSCCAG00000034925
callithrix_jacchus ENSCJAG00000021640
saimiri_boliviensis_boliviensis ENSSBOG00000032359
aotus_nancymaae ENSANAG00000029080
pan_paniscus ENSPPAG00000031668
pan_troglodytes ENSPTRG00000004703
homo_sapiens ENSG00000165714
gorilla_gorilla ENSGGOG00000026065
pongo_abelii ENSPPYG00000004303
nomascus_leucogenys ENSNLEG00000003547
macaca_fascicularis ENSMFAG00000033117
macaca_nemestrina ENSMNEG00000044590
macaca_mulatta ENSMMUG00000018578
theropithecus_gelada ENSTGEG00000021992
cercocebus_atys ENSCATG00000039402
papio_anubis ENSPANG00000017446
chlorocebus_sabaeus ENSCSAG00000008606
mandrillus_leucophaeus ENSMLEG00000030271
colobus_angolensis_palliatus ENSCANG00000034272
piliocolobus_tephrosceles ENSPTEG00000014447
piliocolobus_tephrosceles ENSPTEG00000012164
colobus_angolensis_palliatus ENSCANG00000035138
rhinopithecus_roxellana ENSRROG00000045341
carlito_syrichta ENSTSYG00000009088
propithecus_coquereli ENSPCOG00000016203
prolemur_simus ENSPSMG00000014540
otolemur_garnettii ENSOGAG00000028886
octodon_degus ENSODEG00000011408
jaculus_jaculus ENSJJAG00000013261
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008588
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008005
cavia_porcellus ENSCPOG00000036694
chinchilla_lanigera ENSCLAG00000016187
octodon_degus ENSODEG00000008969
mus_spicilegus ENSMSIG00000007177
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000042992
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030028
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028980
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022742
rattus_norvegicus ENSRNOG00000006505
meriones_unguiculatus ENSMUGG00000002645
peromyscus_maniculatus_bairdii ENSPEMG00000028166
