xiphophorus_couchianus ENSXCOG00000000934
xiphophorus_maculatus ENSXMAG00000023087
gambusia_affinis ENSGAFG00000008363
fundulus_heteroclitus ENSFHEG00000004138
oryzias_latipes_asm223467v1 ENSORLG00000026950
oryzias_latipes_asm223469v1 ENSORLG00015017670
oryzias_latipes_asm223471v1 ENSORLG00020004241
oryzias_melastigma ENSOMEG00000015750
astatotilapia_calliptera ENSACLG00000006179
maylandia_zebra ENSMZEG00005000684
neolamprologus_brichardi ENSNBRG00000004435
amphilophus_citrinellus ENSACIG00000012007
amphiprion_percula ENSAPEG00000011556
amphiprion_ocellaris ENSAOCG00000011497
acanthochromis_polyacanthus ENSAPOG00000016292
mastacembelus_armatus ENSMAMG00000022646
monopterus_albus ENSMALG00000014968
