dromaius_novaehollandiae ENSDNVG00000004568
nothoprocta_perdicaria ENSNPEG00000002062
calidris_pygmaea ENSCPGG00000009880
calidris_pugnax ENSCPUG00000003524
pogona_vitticeps ENSPVIG00000022916
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024679
mus_spicilegus ENSMSIG00000027468
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000043892
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023761
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025211
rattus_norvegicus ENSRNOG00000051828
meriones_unguiculatus ENSMUGG00000017765
cricetulus_griseus_crigri_1.0 ENSCGRG00000019203
cricetulus_griseus_crigri-picr ENSCGRG00015000148
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003534
peromyscus_maniculatus_bairdii ENSPEMG00000002212
microtus_ochrogaster ENSMOCG00000008307
castor_canadensis ENSCCNG00000014312
urocitellus_parryii ENSUPAG00010000384
spermophilus_dauricus ENSSDAG00000020880
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019595
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020331
fukomys_damarensis ENSFDAG00000001533
fukomys_damarensis ENSFDAG00000003141
cavia_porcellus ENSCPOG00000025916
cavia_porcellus ENSCPOG00000032879
chinchilla_lanigera ENSCLAG00000017520
prolemur_simus ENSPSMG00000009913
ailuropoda_melanoleuca ENSAMEG00000018704
mustela_putorius_furo ENSMPUG00000000185
canis_lupus_familiaris ENSCAFG00000031855
canis_lupus_dingo ENSCAFG00020000302
canis_lupus_familiaris ENSCAFG00000031617
canis_lupus_dingo ENSCAFG00020000276
vulpes_vulpes ENSVVUG00000017359
felis_catus ENSFCAG00000042150
bos_taurus ENSBTAG00000036130
bison_bison_bison ENSBBBG00000020555
sus_scrofa ENSSSCG00000013197
equus_caballus ENSECAG00000001995
loxodonta_africana ENSLAFG00000027642
sarcophilus_harrisii ENSSHAG00000009622
sarcophilus_harrisii ENSSHAG00000009997
monodelphis_domestica ENSMODG00000020065
sphenodon_punctatus ENSSPUG00000013379
sphenodon_punctatus ENSSPUG00000007199
notechis_scutatus ENSNSUG00000015911
sphenodon_punctatus ENSSPUG00000005344
sphenodon_punctatus ENSSPUG00000007435
monodelphis_domestica ENSMODG00000023292
sarcophilus_harrisii ENSSHAG00000004699
ictidomys_tridecemlineatus ENSSTOG00000022697
spermophilus_dauricus ENSSDAG00000024719
cavia_aperea ENSCAPG00000005455
