pan_paniscus ENSPPAG00000028585
pan_troglodytes ENSPTRG00000006778
homo_sapiens ENSG00000099814
gorilla_gorilla ENSGGOG00000006499
pongo_abelii ENSPPYG00000006195
nomascus_leucogenys ENSNLEG00000016361
rhinopithecus_roxellana ENSRROG00000013222
rhinopithecus_bieti ENSRBIG00000013028
piliocolobus_tephrosceles ENSPTEG00000028922
colobus_angolensis_palliatus ENSCANG00000043447
mandrillus_leucophaeus ENSMLEG00000028088
cercocebus_atys ENSCATG00000013754
theropithecus_gelada ENSTGEG00000011287
papio_anubis ENSPANG00000004875
macaca_fascicularis ENSMFAG00000002494
macaca_mulatta ENSMMUG00000010576
macaca_nemestrina ENSMNEG00000036988
chlorocebus_sabaeus ENSCSAG00000009689
cebus_capucinus_imitator ENSCCAG00000035683
saimiri_boliviensis_boliviensis ENSSBOG00000022866
callithrix_jacchus ENSCJAG00000002052
aotus_nancymaae ENSANAG00000038015
carlito_syrichta ENSTSYG00000027709
microcebus_murinus ENSMICG00000035450
propithecus_coquereli ENSPCOG00000025305
prolemur_simus ENSPSMG00000011605
otolemur_garnettii ENSOGAG00000028214
castor_canadensis ENSCCNG00000019230
dipodomys_ordii ENSDORG00000000834
mus_spicilegus ENSMSIG00000028952
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019007
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000072825
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018158
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029915
rattus_norvegicus ENSRNOG00000033688
meriones_unguiculatus ENSMUGG00000022425
cricetulus_griseus_crigri_1.0 ENSCGRG00000010237
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018499
cricetulus_griseus_crigri-picr ENSCGRG00015020949
mesocricetus_auratus ENSMAUG00000016685
microtus_ochrogaster ENSMOCG00000008247
peromyscus_maniculatus_bairdii ENSPEMG00000014648
nannospalax_galili ENSNGAG00000011929
jaculus_jaculus ENSJJAG00000016516
urocitellus_parryii ENSUPAG00010018707
ictidomys_tridecemlineatus ENSSTOG00000028623
marmota_marmota_marmota ENSMMMG00000005175
cavia_porcellus ENSCPOG00000011480
cavia_aperea ENSCAPG00000012383
chinchilla_lanigera ENSCLAG00000006617
octodon_degus ENSODEG00000001823
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018104
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006593
fukomys_damarensis ENSFDAG00000008874
ochotona_princeps ENSOPRG00000014418
equus_asinus_asinus ENSEASG00005004442
equus_caballus ENSECAG00000019152
pteropus_vampyrus ENSPVAG00000001803
ursus_americanus ENSUAMG00000008760
ailuropoda_melanoleuca ENSAMEG00000007686
mustela_putorius_furo ENSMPUG00000002152
neovison_vison ENSNVIG00000007176
canis_lupus_dingo ENSCAFG00020008040
canis_lupus_familiaris ENSCAFG00000018376
vulpes_vulpes ENSVVUG00000003257
felis_catus ENSFCAG00000046110
panthera_pardus ENSPPRG00000008181
bos_taurus ENSBTAG00000004802
bos_mutus ENSBMUG00000003896
capra_hircus ENSCHIG00000022357
ovis_aries ENSOARG00000007893
tursiops_truncatus ENSTTRG00000012808
sus_scrofa ENSSSCG00000002558
erinaceus_europaeus ENSEEUG00000015604
panthera_pardus ENSPPRG00000008250
ursus_maritimus ENSUMAG00000024710
dasypus_novemcinctus ENSDNOG00000037988
