peromyscus_maniculatus_bairdii ENSPEMG00000010119
microtus_ochrogaster ENSMOCG00000000284
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019736
cricetulus_griseus_crigri_1.0 ENSCGRG00000004746
cricetulus_griseus_crigri-picr ENSCGRG00015023508
mesocricetus_auratus ENSMAUG00000011058
mus_spicilegus ENSMSIG00000020979
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032032
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031551
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030913
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021383
rattus_norvegicus ENSRNOG00000031189
nannospalax_galili ENSNGAG00000015018
jaculus_jaculus ENSJJAG00000012421
castor_canadensis ENSCCNG00000022145
dipodomys_ordii ENSDORG00000003406
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012189
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003174
fukomys_damarensis ENSFDAG00000009600
chinchilla_lanigera ENSCLAG00000001109
octodon_degus ENSODEG00000006588
cavia_porcellus ENSCPOG00000014771
cavia_aperea ENSCAPG00000014502
urocitellus_parryii ENSUPAG00010002639
ictidomys_tridecemlineatus ENSSTOG00000013198
marmota_marmota_marmota ENSMMMG00000004171
oryctolagus_cuniculus ENSOCUG00000003344
ochotona_princeps ENSOPRG00000005529
tupaia_belangeri ENSTBEG00000015688
homo_sapiens ENSG00000131203
gorilla_gorilla ENSGGOG00000027317
pan_paniscus ENSPPAG00000029122
pan_troglodytes ENSPTRG00000020187
pongo_abelii ENSPPYG00000018537
nomascus_leucogenys ENSNLEG00000012519
theropithecus_gelada ENSTGEG00000010718
papio_anubis ENSPANG00000012480
macaca_mulatta ENSMMUG00000019304
macaca_fascicularis ENSMFAG00000001509
macaca_nemestrina ENSMNEG00000042379
mandrillus_leucophaeus ENSMLEG00000023995
cercocebus_atys ENSCATG00000033441
chlorocebus_sabaeus ENSCSAG00000015118
piliocolobus_tephrosceles ENSPTEG00000036436
colobus_angolensis_palliatus ENSCANG00000041611
rhinopithecus_bieti ENSRBIG00000031329
rhinopithecus_roxellana ENSRROG00000044350
saimiri_boliviensis_boliviensis ENSSBOG00000027917
cebus_capucinus_imitator ENSCCAG00000029005
callithrix_jacchus ENSCJAG00000006463
aotus_nancymaae ENSANAG00000029248
carlito_syrichta ENSTSYG00000004009
propithecus_coquereli ENSPCOG00000013694
microcebus_murinus ENSMICG00000000253
prolemur_simus ENSPSMG00000006656
otolemur_garnettii ENSOGAG00000012936
sorex_araneus ENSSARG00000000766
sorex_araneus ENSSARG00000004694
pteropus_vampyrus ENSPVAG00000007923
sus_scrofa ENSSSCG00000007007
vicugna_pacos ENSVPAG00000009779
bos_mutus ENSBMUG00000003966
bos_taurus ENSBTAG00000020602
bison_bison_bison ENSBBBG00000002483
capra_hircus ENSCHIG00000019906
ovis_aries ENSOARG00000002251
tursiops_truncatus ENSTTRG00000010992
myotis_lucifugus ENSMLUG00000012720
equus_asinus_asinus ENSEASG00005010442
equus_caballus ENSECAG00000022118
ursus_americanus ENSUAMG00000011241
ursus_maritimus ENSUMAG00000025583
ailuropoda_melanoleuca ENSAMEG00000002782
mustela_putorius_furo ENSMPUG00000005861
neovison_vison ENSNVIG00000009869
canis_lupus_dingo ENSCAFG00020002699
canis_lupus_familiaris ENSCAFG00000005750
vulpes_vulpes ENSVVUG00000020390
panthera_pardus ENSPPRG00000006017
panthera_tigris_altaica ENSPTIG00000020303
felis_catus ENSFCAG00000003636
erinaceus_europaeus ENSEEUG00000003176
dasypus_novemcinctus ENSDNOG00000002167
dasypus_novemcinctus ENSDNOG00000049212
choloepus_hoffmanni ENSCHOG00000006063
loxodonta_africana ENSLAFG00000002672
procavia_capensis ENSPCAG00000013397
echinops_telfairi ENSETEG00000015748
phascolarctos_cinereus ENSPCIG00000036829
notamacropus_eugenii ENSMEUG00000010562
sarcophilus_harrisii ENSSHAG00000005681
sarcophilus_harrisii ENSSHAG00000006614
monodelphis_domestica ENSMODG00000010517
