prolemur_simus ENSPSMG00000002921
microcebus_murinus ENSMICG00000007073
propithecus_coquereli ENSPCOG00000024788
homo_sapiens ENSG00000244414
pan_troglodytes ENSPTRG00000023151
mandrillus_leucophaeus ENSMLEG00000030502
homo_sapiens ENSG00000080910
gorilla_gorilla ENSGGOG00000041722
pongo_abelii ENSPPYG00000000390
nomascus_leucogenys ENSNLEG00000018053
papio_anubis ENSPANG00000030696
mandrillus_leucophaeus ENSMLEG00000039904
cercocebus_atys ENSCATG00000030231
theropithecus_gelada ENSTGEG00000023758
chlorocebus_sabaeus ENSCSAG00000013569
colobus_angolensis_palliatus ENSCANG00000032399
piliocolobus_tephrosceles ENSPTEG00000039347
rhinopithecus_roxellana ENSRROG00000043793
rhinopithecus_bieti ENSRBIG00000017164
saimiri_boliviensis_boliviensis ENSSBOG00000014833
peromyscus_maniculatus_bairdii ENSPEMG00000030752
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000057037
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015477
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014670
mus_spicilegus ENSMSIG00000029234
rattus_norvegicus ENSRNOG00000042901
peromyscus_maniculatus_bairdii ENSPEMG00000011920
microtus_ochrogaster ENSMOCG00000017354
castor_canadensis ENSCCNG00000022009
castor_canadensis ENSCCNG00000029011
castor_canadensis ENSCCNG00000029017
castor_canadensis ENSCCNG00000029002
castor_canadensis ENSCCNG00000022012
peromyscus_maniculatus_bairdii ENSPEMG00000029543
bison_bison_bison ENSBBBG00000014810
ursus_americanus ENSUAMG00000010313
echinops_telfairi ENSETEG00000007935
ailuropoda_melanoleuca ENSAMEG00000015595
ursus_americanus ENSUAMG00000003192
neovison_vison ENSNVIG00000009171
vulpes_vulpes ENSVVUG00000012399
panthera_tigris_altaica ENSPTIG00000018604
panthera_pardus ENSPPRG00000012517
felis_catus ENSFCAG00000034115
myotis_lucifugus ENSMLUG00000012743
equus_caballus ENSECAG00000006816
equus_asinus_asinus ENSEASG00005003286
sorex_araneus ENSSARG00000009268
bos_taurus ENSBTAG00000048618
bos_mutus ENSBMUG00000015310
bison_bison_bison ENSBBBG00000001432
capra_hircus ENSCHIG00000010028
tupaia_belangeri ENSTBEG00000009935
loxodonta_africana ENSLAFG00000000817
loxodonta_africana ENSLAFG00000032333
procavia_capensis ENSPCAG00000010352
erinaceus_europaeus ENSEEUG00000000296
dasypus_novemcinctus ENSDNOG00000040680
