numida_meleagris ENSNMEG00000020203
coturnix_japonica ENSCJPG00005021118
dromaius_novaehollandiae ENSDNVG00000007811
crocodylus_porosus ENSCPRG00005017868
gopherus_agassizii ENSGAGG00000025233
chelonoidis_abingdonii ENSCABG00000001700
chrysemys_picta_bellii ENSCPBG00000028274
pogona_vitticeps ENSPVIG00000007208
salvator_merianae ENSSMRG00000014455
capra_hircus ENSCHIG00000005784
capra_hircus ENSCHIG00000017570
bos_taurus ENSBTAG00000051004
bison_bison_bison ENSBBBG00000009228
sus_scrofa ENSSSCG00000032380
pteropus_vampyrus ENSPVAG00000017005
canis_lupus_familiaris ENSCAFG00000032715
canis_lupus_dingo ENSCAFG00020012189
mustela_putorius_furo ENSMPUG00000010402
felis_catus ENSFCAG00000044924
panthera_pardus ENSPPRG00000000379
equus_asinus_asinus ENSEASG00005003209
equus_caballus ENSECAG00000038174
propithecus_coquereli ENSPCOG00000021183
microcebus_murinus ENSMICG00000026611
pan_paniscus ENSPPAG00000029026
pan_troglodytes ENSPTRG00000030241
homo_sapiens ENSG00000203724
gorilla_gorilla ENSGGOG00000006849
pongo_abelii ENSPPYG00000000385
nomascus_leucogenys ENSNLEG00000018061
cercocebus_atys ENSCATG00000030091
mandrillus_leucophaeus ENSMLEG00000036966
papio_anubis ENSPANG00000025040
theropithecus_gelada ENSTGEG00000023188
macaca_fascicularis ENSMFAG00000001268
macaca_mulatta ENSMMUG00000044692
chlorocebus_sabaeus ENSCSAG00000013637
colobus_angolensis_palliatus ENSCANG00000030307
piliocolobus_tephrosceles ENSPTEG00000039175
rhinopithecus_roxellana ENSRROG00000020628
rhinopithecus_bieti ENSRBIG00000042749
cebus_capucinus_imitator ENSCCAG00000011859
callithrix_jacchus ENSCJAG00000004910
aotus_nancymaae ENSANAG00000020587
octodon_degus ENSODEG00000010198
chinchilla_lanigera ENSCLAG00000009911
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003830
castor_canadensis ENSCCNG00000029979
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014664
mus_spicilegus ENSMSIG00000026274
mus_spicilegus ENSMSIG00000029137
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015471
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000079283
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027900
rattus_norvegicus ENSRNOG00000043374
peromyscus_maniculatus_bairdii ENSPEMG00000017082
microtus_ochrogaster ENSMOCG00000018071
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014299
cricetulus_griseus_crigri-picr ENSCGRG00015022180
mesocricetus_auratus ENSMAUG00000021756
nannospalax_galili ENSNGAG00000018229
urocitellus_parryii ENSUPAG00010002739
marmota_marmota_marmota ENSMMMG00000005120
ictidomys_tridecemlineatus ENSSTOG00000033649
oryctolagus_cuniculus ENSOCUG00000022878
prolemur_simus ENSPSMG00000000400
ailuropoda_melanoleuca ENSAMEG00000017591
ursus_maritimus ENSUMAG00000025361
loxodonta_africana ENSLAFG00000016002
echinops_telfairi ENSETEG00000012234
dasypus_novemcinctus ENSDNOG00000046589
monodelphis_domestica ENSMODG00000028784
phascolarctos_cinereus ENSPCIG00000020249
xenopus_tropicalis ENSXETG00000029945
latimeria_chalumnae ENSLACG00000012710
paramormyrops_kingsleyae ENSPKIG00000016150
scleropages_formosus ENSSFOG00015003419
mola_mola ENSMMOG00000007141
takifugu_rubripes ENSTRUG00000001078
labrus_bergylta ENSLBEG00000027308
monopterus_albus ENSMALG00000017309
mastacembelus_armatus ENSMAMG00000006911
anabas_testudineus ENSATEG00000017236
seriola_dumerili ENSSDUG00000010329
seriola_lalandi_dorsalis ENSSLDG00000002217
maylandia_zebra ENSMZEG00005018743
pundamilia_nyererei ENSPNYG00000014270
haplochromis_burtoni ENSHBUG00000018384
astatotilapia_calliptera ENSACLG00000012757
neolamprologus_brichardi ENSNBRG00000021864
amphiprion_ocellaris ENSAOCG00000008089
amphiprion_percula ENSAPEG00000007089
acanthochromis_polyacanthus ENSAPOG00000012701
stegastes_partitus ENSSPAG00000003498
oryzias_latipes_asm223469v1 ENSORLG00015009352
oryzias_latipes_asm223467v1 ENSORLG00000023817
oryzias_latipes_asm223471v1 ENSORLG00020014001
oryzias_melastigma ENSOMEG00000004571
cyprinodon_variegatus ENSCVAG00000014534
fundulus_heteroclitus ENSFHEG00000003224
kryptolebias_marmoratus ENSKMAG00000004323
hippocampus_comes ENSHCOG00000007661
cynoglossus_semilaevis ENSCSEG00000016506
xiphophorus_maculatus ENSXMAG00000026577
xiphophorus_couchianus ENSXCOG00000006397
gambusia_affinis ENSGAFG00000006942
poecilia_mexicana ENSPMEG00000018886
poecilia_formosa ENSPFOG00000024633
poecilia_latipinna ENSPLAG00000000206
scophthalmus_maximus ENSSMAG00000020994
esox_lucius ENSELUG00000019911
pygocentrus_nattereri ENSPNAG00000013602
astyanax_mexicanus ENSAMXG00000041351
ictalurus_punctatus ENSIPUG00000019290
danio_rerio ENSDARG00000071439
lepisosteus_oculatus ENSLOCG00000007585
caenorhabditis_elegans_strain_n2 WBGene00018475
