macaca_fascicularis ENSMFAG00000025531
macaca_nemestrina ENSMNEG00000045502
papio_anubis ENSPANG00000010195
chlorocebus_sabaeus ENSCSAG00000003278
rhinopithecus_roxellana ENSRROG00000029023
pan_paniscus ENSPPAG00000035256
colobus_angolensis_palliatus ENSCANG00000011423
rhinopithecus_bieti ENSRBIG00000036118
nomascus_leucogenys ENSNLEG00000026943
otolemur_garnettii ENSOGAG00000032468
urocitellus_parryii ENSUPAG00010017919
spermophilus_dauricus ENSSDAG00000022399
mus_spicilegus ENSMSIG00000009336
rattus_norvegicus ENSRNOG00000047473
bos_mutus ENSBMUG00000007241
ovis_aries ENSOARG00000001129
sus_scrofa ENSSSCG00000026886
loxodonta_africana ENSLAFG00000032650
sarcophilus_harrisii ENSSHAG00000014767
