drosophila_melanogaster FBgn0035714
caenorhabditis_elegans_strain_n2 WBGene00021063
myotis_lucifugus ENSMLUG00000013575
pteropus_vampyrus ENSPVAG00000009369
equus_caballus ENSECAG00000008202
equus_asinus_asinus ENSEASG00005008821
sus_scrofa ENSSSCG00000007732
erinaceus_europaeus ENSEEUG00000004768
ovis_aries ENSOARG00000010609
capra_hircus ENSCHIG00000026854
bos_taurus ENSBTAG00000004051
bos_mutus ENSBMUG00000003302
bison_bison_bison ENSBBBG00000000944
tursiops_truncatus ENSTTRG00000003921
sorex_araneus ENSSARG00000001899
sorex_araneus ENSSARG00000013132
ursus_maritimus ENSUMAG00000015353
ursus_americanus ENSUAMG00000001326
ailuropoda_melanoleuca ENSAMEG00000018167
canis_lupus_dingo ENSCAFG00020005357
canis_lupus_familiaris ENSCAFG00000010797
vulpes_vulpes ENSVVUG00000016478
panthera_tigris_altaica ENSPTIG00000021308
panthera_pardus ENSPPRG00000002307
felis_catus ENSFCAG00000022142
pan_troglodytes ENSPTRG00000019254
homo_sapiens ENSG00000126524
pan_paniscus ENSPPAG00000043889
pan_troglodytes ENSPTRG00000048174
pan_troglodytes ENSPTRG00000050835
pan_troglodytes ENSPTRG00000047744
gorilla_gorilla ENSGGOG00000040023
pongo_abelii ENSPPYG00000017513
nomascus_leucogenys ENSNLEG00000013288
rhinopithecus_bieti ENSRBIG00000035557
rhinopithecus_roxellana ENSRROG00000040842
rhinopithecus_roxellana ENSRROG00000041986
piliocolobus_tephrosceles ENSPTEG00000008203
piliocolobus_tephrosceles ENSPTEG00000030570
colobus_angolensis_palliatus ENSCANG00000032368
macaca_mulatta ENSMMUG00000045653
macaca_fascicularis ENSMFAG00000032620
macaca_nemestrina ENSMNEG00000031523
mandrillus_leucophaeus ENSMLEG00000036826
cercocebus_atys ENSCATG00000039026
theropithecus_gelada ENSTGEG00000001361
papio_anubis ENSPANG00000004078
chlorocebus_sabaeus ENSCSAG00000018275
cebus_capucinus_imitator ENSCCAG00000020671
saimiri_boliviensis_boliviensis ENSSBOG00000022460
callithrix_jacchus ENSCJAG00000041007
aotus_nancymaae ENSANAG00000037501
aotus_nancymaae ENSANAG00000024342
carlito_syrichta ENSTSYG00000033822
prolemur_simus ENSPSMG00000005233
propithecus_coquereli ENSPCOG00000021098
microcebus_murinus ENSMICG00000014366
otolemur_garnettii ENSOGAG00000009011
otolemur_garnettii ENSOGAG00000015036
castor_canadensis ENSCCNG00000011181
fukomys_damarensis ENSFDAG00000021233
mesocricetus_auratus ENSMAUG00000004862
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000088
octodon_degus ENSODEG00000015687
ictidomys_tridecemlineatus ENSSTOG00000022203
spermophilus_dauricus ENSSDAG00000017918
piliocolobus_tephrosceles ENSPTEG00000037955
rhinopithecus_bieti ENSRBIG00000041549
gorilla_gorilla ENSGGOG00000001472
tupaia_belangeri ENSTBEG00000001178
echinops_telfairi ENSETEG00000006074
choloepus_hoffmanni ENSCHOG00000003795
dasypus_novemcinctus ENSDNOG00000041174
mus_spicilegus ENSMSIG00000021298
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028798
mus_spicilegus ENSMSIG00000005711
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025337
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027800
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024384
rattus_norvegicus ENSRNOG00000000888
meriones_unguiculatus ENSMUGG00000005777
cricetulus_griseus_crigri_1.0 ENSCGRG00000009211
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019886
cricetulus_griseus_crigri-picr ENSCGRG00015002325
mesocricetus_auratus ENSMAUG00000022214
peromyscus_maniculatus_bairdii ENSPEMG00000008728
microtus_ochrogaster ENSMOCG00000011739
nannospalax_galili ENSNGAG00000012093
jaculus_jaculus ENSJJAG00000012033
jaculus_jaculus ENSJJAG00000003934
jaculus_jaculus ENSJJAG00000013791
chinchilla_lanigera ENSCLAG00000005721
chinchilla_lanigera ENSCLAG00000002113
octodon_degus ENSODEG00000019253
