seriola_lalandi_dorsalis ENSSLDG00000014946
seriola_dumerili ENSSDUG00000001125
scophthalmus_maximus ENSSMAG00000015857
anabas_testudineus ENSATEG00000004022
tetraodon_nigroviridis ENSTNIG00000000821
labrus_bergylta ENSLBEG00000016963
labrus_bergylta ENSLBEG00000000672
gasterosteus_aculeatus ENSGACG00000005195
mastacembelus_armatus ENSMAMG00000015037
xiphophorus_maculatus ENSXMAG00000005620
xiphophorus_couchianus ENSXCOG00000008038
gambusia_affinis ENSGAFG00000021147
poecilia_formosa ENSPFOG00000001818
poecilia_latipinna ENSPLAG00000016231
poecilia_mexicana ENSPMEG00000003561
fundulus_heteroclitus ENSFHEG00000013911
cyprinodon_variegatus ENSCVAG00000004557
kryptolebias_marmoratus ENSKMAG00000010749
oryzias_latipes_asm223469v1 ENSORLG00015021852
oryzias_latipes_asm223471v1 ENSORLG00020002405
oryzias_latipes_asm223467v1 ENSORLG00000013306
oryzias_melastigma ENSOMEG00000015747
monopterus_albus ENSMALG00000018784
mola_mola ENSMMOG00000016923
amphiprion_ocellaris ENSAOCG00000014898
amphiprion_percula ENSAPEG00000007053
acanthochromis_polyacanthus ENSAPOG00000002482
stegastes_partitus ENSSPAG00000012072
astatotilapia_calliptera ENSACLG00000022250
haplochromis_burtoni ENSHBUG00000020876
maylandia_zebra ENSMZEG00005017399
pundamilia_nyererei ENSPNYG00000006163
neolamprologus_brichardi ENSNBRG00000004720
oreochromis_niloticus ENSONIG00000007856
amphilophus_citrinellus ENSACIG00000008804
hippocampus_comes ENSHCOG00000013665
cynoglossus_semilaevis ENSCSEG00000001092
periophthalmus_magnuspinnatus ENSPMGG00000021348
gadus_morhua ENSGMOG00000003195
astyanax_mexicanus ENSAMXG00000011206
pygocentrus_nattereri ENSPNAG00000010257
ictalurus_punctatus ENSIPUG00000005903
danio_rerio ENSDARG00000052027
scleropages_formosus ENSSFOG00015022110
paramormyrops_kingsleyae ENSPKIG00000010755
lepisosteus_oculatus ENSLOCG00000005739
scleropages_formosus ENSSFOG00015014132
paramormyrops_kingsleyae ENSPKIG00000005313
periophthalmus_magnuspinnatus ENSPMGG00000006636
lonchura_striata_domestica ENSLSDG00000012687
taeniopygia_guttata ENSTGUG00000008165
serinus_canaria ENSSCAG00000003114
junco_hyemalis ENSJHYG00000008149
zonotrichia_albicollis ENSZALG00000000180
ficedula_albicollis ENSFALG00000009516
cyanistes_caeruleus ENSCCEG00000013430
parus_major ENSPMJG00000019609
manacus_vitellinus ENSMVIG00005011921
lepidothrix_coronata ENSLCOG00000000596
melopsittacus_undulatus ENSMUNG00000010947
calidris_pugnax ENSCPUG00000011907
calidris_pygmaea ENSCPGG00000010785
gallus_gallus ENSGALG00000010343
meleagris_gallopavo ENSMGAG00000010616
coturnix_japonica ENSCJPG00005010057
numida_meleagris ENSNMEG00000021475
anser_brachyrhynchus ENSABRG00000016928
anas_platyrhynchos_platyrhynchos ENSAPLG00000007619
apteryx_haastii ENSAHAG00000015531
apteryx_owenii ENSAOWG00000009287
apteryx_rowi ENSARWG00000018003
dromaius_novaehollandiae ENSDNVG00000009268
nothoprocta_perdicaria ENSNPEG00000014720
crocodylus_porosus ENSCPRG00005017902
gopherus_agassizii ENSGAGG00000005134
chelonoidis_abingdonii ENSCABG00000011827
chrysemys_picta_bellii ENSCPBG00000005640
pelodiscus_sinensis ENSPSIG00000011664
pogona_vitticeps ENSPVIG00000000634
anolis_carolinensis ENSACAG00000029493
notechis_scutatus ENSNSUG00000016088
salvator_merianae ENSSMRG00000018348
sphenodon_punctatus ENSSPUG00000008283
notamacropus_eugenii ENSMEUG00000011919
phascolarctos_cinereus ENSPCIG00000029026
sarcophilus_harrisii ENSSHAG00000002105
monodelphis_domestica ENSMODG00000002113
oryctolagus_cuniculus ENSOCUG00000005217
ochotona_princeps ENSOPRG00000015965
castor_canadensis ENSCCNG00000003281
dipodomys_ordii ENSDORG00000006100
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027300
mus_spicilegus ENSMSIG00000014810
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028699
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026328
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028660
rattus_norvegicus ENSRNOG00000023320
meriones_unguiculatus ENSMUGG00000021591
meriones_unguiculatus ENSMUGG00000021583
peromyscus_maniculatus_bairdii ENSPEMG00000013826
microtus_ochrogaster ENSMOCG00000005309
cricetulus_griseus_crigri_1.0 ENSCGRG00000010292
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013103
cricetulus_griseus_crigri-picr ENSCGRG00015024308
mesocricetus_auratus ENSMAUG00000016996
nannospalax_galili ENSNGAG00000012097
jaculus_jaculus ENSJJAG00000019605
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001782
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009464
fukomys_damarensis ENSFDAG00000020116
cavia_porcellus ENSCPOG00000005201
cavia_aperea ENSCAPG00000008893
chinchilla_lanigera ENSCLAG00000007836
octodon_degus ENSODEG00000007355
ictidomys_tridecemlineatus ENSSTOG00000026291
urocitellus_parryii ENSUPAG00010020497
marmota_marmota_marmota ENSMMMG00000018942
spermophilus_dauricus ENSSDAG00000002977
tupaia_belangeri ENSTBEG00000008853
pan_troglodytes ENSPTRG00000000686
pan_paniscus ENSPPAG00000041180
homo_sapiens ENSG00000117472
gorilla_gorilla ENSGGOG00000025248
pongo_abelii ENSPPYG00000001401
nomascus_leucogenys ENSNLEG00000016634
macaca_nemestrina ENSMNEG00000026812
macaca_fascicularis ENSMFAG00000042909
macaca_mulatta ENSMMUG00000016452
papio_anubis ENSPANG00000005967
cercocebus_atys ENSCATG00000032912
theropithecus_gelada ENSTGEG00000000659
mandrillus_leucophaeus ENSMLEG00000043884
chlorocebus_sabaeus ENSCSAG00000001226
rhinopithecus_bieti ENSRBIG00000028021
rhinopithecus_roxellana ENSRROG00000037921
piliocolobus_tephrosceles ENSPTEG00000037191
colobus_angolensis_palliatus ENSCANG00000014877
saimiri_boliviensis_boliviensis ENSSBOG00000035428
cebus_capucinus_imitator ENSCCAG00000034126
callithrix_jacchus ENSCJAG00000021020
aotus_nancymaae ENSANAG00000031824
carlito_syrichta ENSTSYG00000030360
microcebus_murinus ENSMICG00000003260
prolemur_simus ENSPSMG00000013947
propithecus_coquereli ENSPCOG00000027682
otolemur_garnettii ENSOGAG00000029255
ursus_maritimus ENSUMAG00000023878
ursus_americanus ENSUAMG00000011801
ailuropoda_melanoleuca ENSAMEG00000013814
neovison_vison ENSNVIG00000019521
mustela_putorius_furo ENSMPUG00000012973
canis_lupus_dingo ENSCAFG00020015118
canis_lupus_familiaris ENSCAFG00000004321
vulpes_vulpes ENSVVUG00000007241
panthera_tigris_altaica ENSPTIG00000013418
panthera_pardus ENSPPRG00000009310
felis_catus ENSFCAG00000000553
sus_scrofa ENSSSCG00000003908
myotis_lucifugus ENSMLUG00000003744
pteropus_vampyrus ENSPVAG00000013681
equus_asinus_asinus ENSEASG00005004390
equus_caballus ENSECAG00000022305
capra_hircus ENSCHIG00000018316
ovis_aries ENSOARG00000002199
bos_taurus ENSBTAG00000013320
bos_mutus ENSBMUG00000018631
bison_bison_bison ENSBBBG00000015713
tursiops_truncatus ENSTTRG00000013174
erinaceus_europaeus ENSEEUG00000007815
sorex_araneus ENSSARG00000012102
echinops_telfairi ENSETEG00000010900
echinops_telfairi ENSETEG00000019696
choloepus_hoffmanni ENSCHOG00000001219
dasypus_novemcinctus ENSDNOG00000049228
loxodonta_africana ENSLAFG00000003695
procavia_capensis ENSPCAG00000008097
ornithorhynchus_anatinus ENSOANG00000021993
xenopus_tropicalis ENSXETG00000004371
eptatretus_burgeri ENSEBUG00000011077
