xenopus_tropicalis ENSXETG00000021890
monodelphis_domestica ENSMODG00000002099
gopherus_agassizii ENSGAGG00000012557
bos_mutus ENSBMUG00000025784
ovis_aries ENSOARG00000003801
tursiops_truncatus ENSTTRG00000009758
sus_scrofa ENSSSCG00000013600
pteropus_vampyrus ENSPVAG00000009645
dipodomys_ordii ENSDORG00000006304
otolemur_garnettii ENSOGAG00000003227
homo_sapiens ENSG00000185236
pongo_abelii ENSPPYG00000009504
nomascus_leucogenys ENSNLEG00000001733
theropithecus_gelada ENSTGEG00000022376
chlorocebus_sabaeus ENSCSAG00000008024
colobus_angolensis_palliatus ENSCANG00000040517
piliocolobus_tephrosceles ENSPTEG00000031259
cebus_capucinus_imitator ENSCCAG00000031042
callithrix_jacchus ENSCJAG00000010778
saimiri_boliviensis_boliviensis ENSSBOG00000035094
aotus_nancymaae ENSANAG00000037616
carlito_syrichta ENSTSYG00000014758
propithecus_coquereli ENSPCOG00000028053
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014984
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003638
fukomys_damarensis ENSFDAG00000019872
chinchilla_lanigera ENSCLAG00000003207
octodon_degus ENSODEG00000011371
cavia_porcellus ENSCPOG00000030154
panthera_pardus ENSPPRG00000010160
panthera_tigris_altaica ENSPTIG00000011939
erinaceus_europaeus ENSEEUG00000009165
bison_bison_bison ENSBBBG00000005273
rhinopithecus_bieti ENSRBIG00000013864
macaca_mulatta ENSMMUG00000010225
macaca_nemestrina ENSMNEG00000039759
choloepus_hoffmanni ENSCHOG00000012928
oryctolagus_cuniculus ENSOCUG00000028208
ailuropoda_melanoleuca ENSAMEG00000004955
ursus_maritimus ENSUMAG00000014594
canis_lupus_familiaris ENSCAFG00000032060
canis_lupus_dingo ENSCAFG00020022184
vulpes_vulpes ENSVVUG00000025210
mustela_putorius_furo ENSMPUG00000007263
neovison_vison ENSNVIG00000017229
felis_catus ENSFCAG00000015216
cricetulus_griseus_crigri_1.0 ENSCGRG00000010967
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013827
cricetulus_griseus_crigri-picr ENSCGRG00015025442
mesocricetus_auratus ENSMAUG00000021579
microtus_ochrogaster ENSMOCG00000012667
peromyscus_maniculatus_bairdii ENSPEMG00000014536
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021415
mus_spicilegus ENSMSIG00000008816
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022327
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000077450
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020420
rattus_norvegicus ENSRNOG00000007648
meriones_unguiculatus ENSMUGG00000012112
jaculus_jaculus ENSJJAG00000018891
jaculus_jaculus ENSJJAG00000014771
nannospalax_galili ENSNGAG00000015757
castor_canadensis ENSCCNG00000006095
myotis_lucifugus ENSMLUG00000002308
choloepus_hoffmanni ENSCHOG00000013525
loxodonta_africana ENSLAFG00000013598
procavia_capensis ENSPCAG00000016118
dasypus_novemcinctus ENSDNOG00000014618
dasypus_novemcinctus ENSDNOG00000004134
urocitellus_parryii ENSUPAG00010004384
ictidomys_tridecemlineatus ENSSTOG00000031571
marmota_marmota_marmota ENSMMMG00000021547
lepisosteus_oculatus ENSLOCG00000004490
amphiprion_ocellaris ENSAOCG00000018050
amphiprion_percula ENSAPEG00000009177
stegastes_partitus ENSSPAG00000017313
maylandia_zebra ENSMZEG00005010947
astatotilapia_calliptera ENSACLG00000005420
haplochromis_burtoni ENSHBUG00000009894
pundamilia_nyererei ENSPNYG00000019644
haplochromis_burtoni ENSHBUG00000019290
pundamilia_nyererei ENSPNYG00000023810
astatotilapia_calliptera ENSACLG00000018852
maylandia_zebra ENSMZEG00005019251
neolamprologus_brichardi ENSNBRG00000023898
oreochromis_niloticus ENSONIG00000002535
poecilia_formosa ENSPFOG00000006159
poecilia_latipinna ENSPLAG00000014243
poecilia_reticulata ENSPREG00000006357
gambusia_affinis ENSGAFG00000005679
xiphophorus_maculatus ENSXMAG00000013416
fundulus_heteroclitus ENSFHEG00000022642
kryptolebias_marmoratus ENSKMAG00000006082
oryzias_latipes_asm223467v1 ENSORLG00000015307
oryzias_latipes_asm223469v1 ENSORLG00015016946
oryzias_latipes_asm223471v1 ENSORLG00020020816
oryzias_melastigma ENSOMEG00000002581
seriola_lalandi_dorsalis ENSSLDG00000005221
seriola_dumerili ENSSDUG00000002965
mastacembelus_armatus ENSMAMG00000018556
monopterus_albus ENSMALG00000021949
anabas_testudineus ENSATEG00000023730
cynoglossus_semilaevis ENSCSEG00000007121
labrus_bergylta ENSLBEG00000006087
gadus_morhua ENSGMOG00000007390
pygocentrus_nattereri ENSPNAG00000020475
danio_rerio ENSDARG00000041878
amphiprion_percula ENSAPEG00000009227
acanthochromis_polyacanthus ENSAPOG00000019118
amphilophus_citrinellus ENSACIG00000024374
xiphophorus_couchianus ENSXCOG00000009194
poecilia_mexicana ENSPMEG00000007917
pygocentrus_nattereri ENSPNAG00000006431
latimeria_chalumnae ENSLACG00000016974
poecilia_latipinna ENSPLAG00000014507
esox_lucius ENSELUG00000019240
petromyzon_marinus ENSPMAG00000009335
eptatretus_burgeri ENSEBUG00000015447
eptatretus_burgeri ENSEBUG00000011775
propithecus_coquereli ENSPCOG00000008655
spermophilus_dauricus ENSSDAG00000000745
tupaia_belangeri ENSTBEG00000014750
bos_mutus ENSBMUG00000021088
ciona_intestinalis ENSCING00000009526
caenorhabditis_elegans_strain_n2 WBGene00004274
