cyprinodon_variegatus ENSCVAG00000012941
fundulus_heteroclitus ENSFHEG00000006292
xiphophorus_maculatus ENSXMAG00000025397
xiphophorus_couchianus ENSXCOG00000017750
gambusia_affinis ENSGAFG00000007536
poecilia_mexicana ENSPMEG00000000929
poecilia_reticulata ENSPREG00000002383
poecilia_latipinna ENSPLAG00000004360
oryzias_latipes_asm223467v1 ENSORLG00000026307
oryzias_latipes_asm223469v1 ENSORLG00015008769
oryzias_latipes_asm223471v1 ENSORLG00020013717
pundamilia_nyererei ENSPNYG00000006637
haplochromis_burtoni ENSHBUG00000001267
maylandia_zebra ENSMZEG00005026992
astatotilapia_calliptera ENSACLG00000008667
neolamprologus_brichardi ENSNBRG00000014757
amphilophus_citrinellus ENSACIG00000014757
amphiprion_ocellaris ENSAOCG00000019318
amphiprion_percula ENSAPEG00000005533
acanthochromis_polyacanthus ENSAPOG00000016330
stegastes_partitus ENSSPAG00000002507
mastacembelus_armatus ENSMAMG00000016566
scophthalmus_maximus ENSSMAG00000007181
