panthera_pardus ENSPPRG00000005757
mustela_putorius_furo ENSMPUG00000011619
bison_bison_bison ENSBBBG00000021884
bos_mutus ENSBMUG00000000619
theropithecus_gelada ENSTGEG00000022858
mandrillus_leucophaeus ENSMLEG00000035128
pan_troglodytes ENSPTRG00000004724
pan_paniscus ENSPPAG00000040748
homo_sapiens ENSG00000084463
pongo_abelii ENSPPYG00000004323
nomascus_leucogenys ENSNLEG00000003926
cebus_capucinus_imitator ENSCCAG00000023980
microcebus_murinus ENSMICG00000006254
sphenodon_punctatus ENSSPUG00000004904
