labrus_bergylta ENSLBEG00000007159
gasterosteus_aculeatus ENSGACG00000020797
mastacembelus_armatus ENSMAMG00000020077
anabas_testudineus ENSATEG00000022646
seriola_dumerili ENSSDUG00000000585
amphiprion_ocellaris ENSAOCG00000001772
amphiprion_percula ENSAPEG00000021960
acanthochromis_polyacanthus ENSAPOG00000002097
stegastes_partitus ENSSPAG00000005388
oryzias_latipes_asm223467v1 ENSORLG00000013997
oryzias_latipes_asm223469v1 ENSORLG00015018242
oryzias_latipes_asm223471v1 ENSORLG00020011341
oryzias_melastigma ENSOMEG00000002976
cynoglossus_semilaevis ENSCSEG00000010459
kryptolebias_marmoratus ENSKMAG00000018779
seriola_lalandi_dorsalis ENSSLDG00000016258
tetraodon_nigroviridis ENSTNIG00000007636
takifugu_rubripes ENSTRUG00000005407
scophthalmus_maximus ENSSMAG00000007661
maylandia_zebra ENSMZEG00005009622
astatotilapia_calliptera ENSACLG00000015924
pundamilia_nyererei ENSPNYG00000008334
haplochromis_burtoni ENSHBUG00000019911
oreochromis_niloticus ENSONIG00000017333
neolamprologus_brichardi ENSNBRG00000009555
amphilophus_citrinellus ENSACIG00000002522
xiphophorus_couchianus ENSXCOG00000004005
fundulus_heteroclitus ENSFHEG00000000609
monopterus_albus ENSMALG00000010345
mola_mola ENSMMOG00000014816
cynoglossus_semilaevis ENSCSEG00000016355
hippocampus_comes ENSHCOG00000010591
poecilia_formosa ENSPFOG00000000010
poecilia_latipinna ENSPLAG00000007415
poecilia_mexicana ENSPMEG00000004473
xiphophorus_maculatus ENSXMAG00000018893
cyprinodon_variegatus ENSCVAG00000005169
periophthalmus_magnuspinnatus ENSPMGG00000012389
gadus_morhua ENSGMOG00000013302
esox_lucius ENSELUG00000011543
pygocentrus_nattereri ENSPNAG00000015814
astyanax_mexicanus ENSAMXG00000032551
ictalurus_punctatus ENSIPUG00000007171
danio_rerio ENSDARG00000054032
scleropages_formosus ENSSFOG00015010149
paramormyrops_kingsleyae ENSPKIG00000009041
paramormyrops_kingsleyae ENSPKIG00000016494
lepisosteus_oculatus ENSLOCG00000012274
latimeria_chalumnae ENSLACG00000011573
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000034789
mus_spicilegus ENSMSIG00000017691
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019435
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018555
