mus_musculus_strain_reference_cl57bl6 ENSMUSG00000002633
mus_spicilegus ENSMSIG00000012010
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027040
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028036
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021813
rattus_norvegicus ENSRNOG00000006120
meriones_unguiculatus ENSMUGG00000008382
cricetulus_griseus_crigri-picr ENSCGRG00015009257
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016950
mesocricetus_auratus ENSMAUG00000016493
microtus_ochrogaster ENSMOCG00000008843
peromyscus_maniculatus_bairdii ENSPEMG00000027532
nannospalax_galili ENSNGAG00000024336
jaculus_jaculus ENSJJAG00000019136
urocitellus_parryii ENSUPAG00010012371
ictidomys_tridecemlineatus ENSSTOG00000021031
castor_canadensis ENSCCNG00000013153
octodon_degus ENSODEG00000010106
cavia_porcellus ENSCPOG00000023638
chinchilla_lanigera ENSCLAG00000001349
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005693
fukomys_damarensis ENSFDAG00000006696
oryctolagus_cuniculus ENSOCUG00000016862
microcebus_murinus ENSMICG00000027721
prolemur_simus ENSPSMG00000003814
otolemur_garnettii ENSOGAG00000030068
pan_paniscus ENSPPAG00000033504
pan_troglodytes ENSPTRG00000019912
homo_sapiens ENSG00000164690
gorilla_gorilla ENSGGOG00000014018
pongo_abelii ENSPPYG00000018217
nomascus_leucogenys ENSNLEG00000015404
colobus_angolensis_palliatus ENSCANG00000038943
piliocolobus_tephrosceles ENSPTEG00000038195
rhinopithecus_bieti ENSRBIG00000029453
theropithecus_gelada ENSTGEG00000006880
papio_anubis ENSPANG00000008528
cercocebus_atys ENSCATG00000038726
macaca_fascicularis ENSMFAG00000036949
macaca_nemestrina ENSMNEG00000042217
macaca_mulatta ENSMMUG00000007356
chlorocebus_sabaeus ENSCSAG00000006480
cebus_capucinus_imitator ENSCCAG00000034451
callithrix_jacchus ENSCJAG00000020423
bos_mutus ENSBMUG00000016975
bos_taurus ENSBTAG00000024552
capra_hircus ENSCHIG00000023555
ovis_aries ENSOARG00000006942
tursiops_truncatus ENSTTRG00000013721
sus_scrofa ENSSSCG00000016416
pteropus_vampyrus ENSPVAG00000000225
canis_lupus_dingo ENSCAFG00020005208
canis_lupus_familiaris ENSCAFG00000029968
ailuropoda_melanoleuca ENSAMEG00000001204
felis_catus ENSFCAG00000041187
panthera_pardus ENSPPRG00000001063
equus_asinus_asinus ENSEASG00005001552
equus_caballus ENSECAG00000023075
myotis_lucifugus ENSMLUG00000025004
mustela_putorius_furo ENSMPUG00000009692
carlito_syrichta ENSTSYG00000028157
dasypus_novemcinctus ENSDNOG00000049380
choloepus_hoffmanni ENSCHOG00000005004
loxodonta_africana ENSLAFG00000022332
procavia_capensis ENSPCAG00000001507
echinops_telfairi ENSETEG00000018605
phascolarctos_cinereus ENSPCIG00000003301
notamacropus_eugenii ENSMEUG00000001695
monodelphis_domestica ENSMODG00000005028
sarcophilus_harrisii ENSSHAG00000015579
gopherus_agassizii ENSGAGG00000017813
chelonoidis_abingdonii ENSCABG00000013644
chrysemys_picta_bellii ENSCPBG00000018220
pelodiscus_sinensis ENSPSIG00000016979
crocodylus_porosus ENSCPRG00005005330
apteryx_rowi ENSARWG00000016608
apteryx_haastii ENSAHAG00000012984
apteryx_owenii ENSAOWG00000005968
dromaius_novaehollandiae ENSDNVG00000007178
nothoprocta_perdicaria ENSNPEG00000012787
ficedula_albicollis ENSFALG00000006895
anas_platyrhynchos_platyrhynchos ENSAPLG00000007226
calidris_pugnax ENSCPUG00000019205
calidris_pygmaea ENSCPGG00000005041
melopsittacus_undulatus ENSMUNG00000006167
lepidothrix_coronata ENSLCOG00000015245
manacus_vitellinus ENSMVIG00005019528
taeniopygia_guttata ENSTGUG00000000697
lonchura_striata_domestica ENSLSDG00000011622
serinus_canaria ENSSCAG00000007451
junco_hyemalis ENSJHYG00000005513
zonotrichia_albicollis ENSZALG00000000733
parus_major ENSPMJG00000005296
meleagris_gallopavo ENSMGAG00000004948
meleagris_gallopavo ENSMGAG00000017206
coturnix_japonica ENSCJPG00005003165
gallus_gallus ENSGALG00000006379
numida_meleagris ENSNMEG00000007458
anser_brachyrhynchus ENSABRG00000018705
pogona_vitticeps ENSPVIG00000003200
anolis_carolinensis ENSACAG00000011060
notechis_scutatus ENSNSUG00000003968
salvator_merianae ENSSMRG00000014362
sphenodon_punctatus ENSSPUG00000002509
ursus_maritimus ENSUMAG00000014393
vulpes_vulpes ENSVVUG00000002701
neovison_vison ENSNVIG00000000208
bison_bison_bison ENSBBBG00000013797
aotus_nancymaae ENSANAG00000030048
saimiri_boliviensis_boliviensis ENSSBOG00000019819
mandrillus_leucophaeus ENSMLEG00000042622
rhinopithecus_roxellana ENSRROG00000032102
