microcebus_murinus ENSMICG00000008680
otolemur_garnettii ENSOGAG00000028642
saimiri_boliviensis_boliviensis ENSSBOG00000004421
cebus_capucinus_imitator ENSCCAG00000016221
callithrix_jacchus ENSCJAG00000000542
aotus_nancymaae ENSANAG00000020095
aotus_nancymaae ENSANAG00000022349
pan_troglodytes ENSPTRG00000039009
pan_paniscus ENSPPAG00000026440
homo_sapiens ENSG00000254004
pongo_abelii ENSPPYG00000009903
nomascus_leucogenys ENSNLEG00000003057
colobus_angolensis_palliatus ENSCANG00000014840
piliocolobus_tephrosceles ENSPTEG00000017817
rhinopithecus_bieti ENSRBIG00000031003
rhinopithecus_roxellana ENSRROG00000022804
macaca_fascicularis ENSMFAG00000009739
macaca_mulatta ENSMMUG00000048113
macaca_nemestrina ENSMNEG00000002743
theropithecus_gelada ENSTGEG00000007671
papio_anubis ENSPANG00000013548
cercocebus_atys ENSCATG00000018994
mandrillus_leucophaeus ENSMLEG00000008321
chlorocebus_sabaeus ENSCSAG00000018531
otolemur_garnettii ENSOGAG00000034776
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014257
cricetulus_griseus_crigri_1.0 ENSCGRG00000005193
cricetulus_griseus_crigri-picr ENSCGRG00015009112
microtus_ochrogaster ENSMOCG00000004750
peromyscus_maniculatus_bairdii ENSPEMG00000006100
mus_spicilegus ENSMSIG00000004059
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000049421
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030596
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029500
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0012734
rattus_norvegicus ENSRNOG00000020762
rattus_norvegicus ENSRNOG00000046867
meriones_unguiculatus ENSMUGG00000012165
nannospalax_galili ENSNGAG00000021983
jaculus_jaculus ENSJJAG00000011001
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001492
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019473
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018250
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001979
chinchilla_lanigera ENSCLAG00000013293
octodon_degus ENSODEG00000020235
cavia_porcellus ENSCPOG00000039221
cavia_aperea ENSCAPG00000013230
ictidomys_tridecemlineatus ENSSTOG00000029949
castor_canadensis ENSCCNG00000009483
dipodomys_ordii ENSDORG00000025819
oryctolagus_cuniculus ENSOCUG00000029144
ochotona_princeps ENSOPRG00000000328
ursus_maritimus ENSUMAG00000020874
ursus_americanus ENSUAMG00000008859
mustela_putorius_furo ENSMPUG00000018917
canis_lupus_familiaris ENSCAFG00000029492
panthera_pardus ENSPPRG00000019480
erinaceus_europaeus ENSEEUG00000015842
sorex_araneus ENSSARG00000011343
pteropus_vampyrus ENSPVAG00000006898
myotis_lucifugus ENSMLUG00000017080
equus_caballus ENSECAG00000005312
equus_asinus_asinus ENSEASG00005002291
bos_mutus ENSBMUG00000019067
bison_bison_bison ENSBBBG00000022063
capra_hircus ENSCHIG00000009152
tursiops_truncatus ENSTTRG00000001413
vicugna_pacos ENSVPAG00000008946
sus_scrofa ENSSSCG00000002930
choloepus_hoffmanni ENSCHOG00000002771
dasypus_novemcinctus ENSDNOG00000012353
