bison_bison_bison ENSBBBG00000009186
bos_mutus ENSBMUG00000026719
equus_asinus_asinus ENSEASG00005017708
urocitellus_parryii ENSUPAG00010011163
spermophilus_dauricus ENSSDAG00000006095
mus_spicilegus ENSMSIG00000028491
mandrillus_leucophaeus ENSMLEG00000016680
cercocebus_atys ENSCATG00000031602
papio_anubis ENSPANG00000030809
macaca_mulatta ENSMMUG00000001408
pan_troglodytes ENSPTRG00000047360
cebus_capucinus_imitator ENSCCAG00000028367
saimiri_boliviensis_boliviensis ENSSBOG00000035152
aotus_nancymaae ENSANAG00000019952
ursus_americanus ENSUAMG00000014057
sus_scrofa ENSSSCG00000032109
carlito_syrichta ENSTSYG00000028847
