ciona_intestinalis ENSCING00000020777
ciona_savignyi ENSCSAVG00000010764
ciona_savignyi ENSCSAVG00000008660
apteryx_rowi ENSARWG00000008284
apteryx_haastii ENSAHAG00000018744
anser_brachyrhynchus ENSABRG00000014509
meleagris_gallopavo ENSMGAG00000006887
parus_major ENSPMJG00000005303
taeniopygia_guttata ENSTGUG00000001811
lepidothrix_coronata ENSLCOG00000013591
melopsittacus_undulatus ENSMUNG00000006871
caenorhabditis_elegans_strain_n2 WBGene00004748
caenorhabditis_elegans_strain_n2 WBGene00008663
petromyzon_marinus ENSPMAG00000008032
junco_hyemalis ENSJHYG00000013035
petromyzon_marinus ENSPMAG00000009547
drosophila_melanogaster FBgn0267486
caenorhabditis_elegans_strain_n2 WBGene00011755
