astatotilapia_calliptera ENSACLG00000012996
maylandia_zebra ENSMZEG00005020991
pundamilia_nyererei ENSPNYG00000004387
neolamprologus_brichardi ENSNBRG00000004211
amphilophus_citrinellus ENSACIG00000018636
xiphophorus_couchianus ENSXCOG00000009055
seriola_lalandi_dorsalis ENSSLDG00000005573
seriola_dumerili ENSSDUG00000007330
cynoglossus_semilaevis ENSCSEG00000004082
periophthalmus_magnuspinnatus ENSPMGG00000018242
oryzias_latipes_asm223469v1 ENSORLG00015003652
oryzias_latipes_asm223467v1 ENSORLG00000027603
oryzias_latipes_asm223471v1 ENSORLG00020006424
oryzias_melastigma ENSOMEG00000016086
fundulus_heteroclitus ENSFHEG00000010867
amphiprion_percula ENSAPEG00000004216
amphiprion_ocellaris ENSAOCG00000002924
stegastes_partitus ENSSPAG00000018407
mola_mola ENSMMOG00000012863
takifugu_rubripes ENSTRUG00000024404
scophthalmus_maximus ENSSMAG00000007544
monopterus_albus ENSMALG00000016171
anabas_testudineus ENSATEG00000002360
hippocampus_comes ENSHCOG00000011202
esox_lucius ENSELUG00000004130
astyanax_mexicanus ENSAMXG00000038861
pygocentrus_nattereri ENSPNAG00000020739
ictalurus_punctatus ENSIPUG00000007775
paramormyrops_kingsleyae ENSPKIG00000015171
monopterus_albus ENSMALG00000002997
mastacembelus_armatus ENSMAMG00000013214
anabas_testudineus ENSATEG00000000084
amphilophus_citrinellus ENSACIG00000011212
petromyzon_marinus ENSPMAG00000001898
