propithecus_coquereli ENSPCOG00000027656
prolemur_simus ENSPSMG00000001641
microcebus_murinus ENSMICG00000012542
otolemur_garnettii ENSOGAG00000010677
pan_troglodytes ENSPTRG00000019495
pan_troglodytes ENSPTRG00000050117
pan_paniscus ENSPPAG00000028852
homo_sapiens ENSG00000205307
gorilla_gorilla ENSGGOG00000013708
gorilla_gorilla ENSGGOG00000042574
pan_troglodytes ENSPTRG00000049821
nomascus_leucogenys ENSNLEG00000031380
macaca_fascicularis ENSMFAG00000042005
macaca_nemestrina ENSMNEG00000032763
macaca_mulatta ENSMMUG00000046847
cercocebus_atys ENSCATG00000033843
theropithecus_gelada ENSTGEG00000010235
papio_anubis ENSPANG00000018109
mandrillus_leucophaeus ENSMLEG00000017738
chlorocebus_sabaeus ENSCSAG00000017917
rhinopithecus_bieti ENSRBIG00000024532
rhinopithecus_roxellana ENSRROG00000032342
colobus_angolensis_palliatus ENSCANG00000036115
cebus_capucinus_imitator ENSCCAG00000010146
cebus_capucinus_imitator ENSCCAG00000014355
saimiri_boliviensis_boliviensis ENSSBOG00000035430
callithrix_jacchus ENSCJAG00000015273
aotus_nancymaae ENSANAG00000026948
mus_spicilegus ENSMSIG00000007819
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028891
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027886
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000079165
rattus_norvegicus ENSRNOG00000051023
meriones_unguiculatus ENSMUGG00000015174
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010999
cricetulus_griseus_crigri-picr ENSCGRG00015010769
cricetulus_griseus_crigri_1.0 ENSCGRG00000010099
mesocricetus_auratus ENSMAUG00000009553
peromyscus_maniculatus_bairdii ENSPEMG00000012433
microtus_ochrogaster ENSMOCG00000018509
nannospalax_galili ENSNGAG00000016739
jaculus_jaculus ENSJJAG00000022701
ictidomys_tridecemlineatus ENSSTOG00000007653
urocitellus_parryii ENSUPAG00010017831
spermophilus_dauricus ENSSDAG00000021851
marmota_marmota_marmota ENSMMMG00000012306
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008708
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018294
fukomys_damarensis ENSFDAG00000015357
chinchilla_lanigera ENSCLAG00000001506
oryctolagus_cuniculus ENSOCUG00000027938
ursus_maritimus ENSUMAG00000010752
ursus_americanus ENSUAMG00000028227
ailuropoda_melanoleuca ENSAMEG00000014992
neovison_vison ENSNVIG00000000995
mustela_putorius_furo ENSMPUG00000015682
canis_lupus_dingo ENSCAFG00020013983
canis_lupus_familiaris ENSCAFG00000014343
panthera_pardus ENSPPRG00000022993
equus_asinus_asinus ENSEASG00005017040
equus_caballus ENSECAG00000023213
bos_taurus ENSBTAG00000039601
bos_mutus ENSBMUG00000000358
bison_bison_bison ENSBBBG00000023146
vicugna_pacos ENSVPAG00000007054
myotis_lucifugus ENSMLUG00000009823
loxodonta_africana ENSLAFG00000030856
dasypus_novemcinctus ENSDNOG00000000095
