kryptolebias_marmoratus ENSKMAG00000009813
hippocampus_comes ENSHCOG00000018515
tetraodon_nigroviridis ENSTNIG00000012726
takifugu_rubripes ENSTRUG00000000584
labrus_bergylta ENSLBEG00000018697
labrus_bergylta ENSLBEG00000000506
gasterosteus_aculeatus ENSGACG00000003265
mola_mola ENSMMOG00000002801
seriola_lalandi_dorsalis ENSSLDG00000003527
seriola_dumerili ENSSDUG00000015458
scophthalmus_maximus ENSSMAG00000013993
monopterus_albus ENSMALG00000021576
mastacembelus_armatus ENSMAMG00000001639
anabas_testudineus ENSATEG00000009656
cynoglossus_semilaevis ENSCSEG00000017041
cyprinodon_variegatus ENSCVAG00000005605
fundulus_heteroclitus ENSFHEG00000017464
poecilia_formosa ENSPFOG00000010006
poecilia_mexicana ENSPMEG00000016604
poecilia_latipinna ENSPLAG00000002480
poecilia_reticulata ENSPREG00000018785
xiphophorus_couchianus ENSXCOG00000009502
xiphophorus_maculatus ENSXMAG00000010098
gambusia_affinis ENSGAFG00000007568
oryzias_latipes_asm223471v1 ENSORLG00020013537
oryzias_latipes_asm223469v1 ENSORLG00015013295
oryzias_latipes_asm223467v1 ENSORLG00000009228
oryzias_melastigma ENSOMEG00000006687
amphiprion_percula ENSAPEG00000019252
amphiprion_ocellaris ENSAOCG00000009664
acanthochromis_polyacanthus ENSAPOG00000001962
stegastes_partitus ENSSPAG00000004050
haplochromis_burtoni ENSHBUG00000017022
astatotilapia_calliptera ENSACLG00000026861
pundamilia_nyererei ENSPNYG00000004353
maylandia_zebra ENSMZEG00005021957
oreochromis_niloticus ENSONIG00000014071
neolamprologus_brichardi ENSNBRG00000022837
amphilophus_citrinellus ENSACIG00000021441
periophthalmus_magnuspinnatus ENSPMGG00000023697
gadus_morhua ENSGMOG00000002549
esox_lucius ENSELUG00000013460
astyanax_mexicanus ENSAMXG00000014808
pygocentrus_nattereri ENSPNAG00000020476
ictalurus_punctatus ENSIPUG00000010923
danio_rerio ENSDARG00000032131
astyanax_mexicanus ENSAMXG00000043491
paramormyrops_kingsleyae ENSPKIG00000013157
lepisosteus_oculatus ENSLOCG00000003166
calidris_pygmaea ENSCPGG00000009121
calidris_pugnax ENSCPUG00000007116
melopsittacus_undulatus ENSMUNG00000004789
manacus_vitellinus ENSMVIG00005011592
lepidothrix_coronata ENSLCOG00000010758
parus_major ENSPMJG00000010947
cyanistes_caeruleus ENSCCEG00000015238
ficedula_albicollis ENSFALG00000006015
lonchura_striata_domestica ENSLSDG00000006163
taeniopygia_guttata ENSTGUG00000013405
serinus_canaria ENSSCAG00000009392
zonotrichia_albicollis ENSZALG00000018107
junco_hyemalis ENSJHYG00000018180
gallus_gallus ENSGALG00000015117
meleagris_gallopavo ENSMGAG00000014321
coturnix_japonica ENSCJPG00005017429
numida_meleagris ENSNMEG00000017056
anser_brachyrhynchus ENSABRG00000009806
anas_platyrhynchos_platyrhynchos ENSAPLG00000002289
apteryx_haastii ENSAHAG00000009221
apteryx_rowi ENSARWG00000015710
apteryx_owenii ENSAOWG00000001413
dromaius_novaehollandiae ENSDNVG00000000961
nothoprocta_perdicaria ENSNPEG00000001755
melopsittacus_undulatus ENSMUNG00000004786
serinus_canaria ENSSCAG00000001584
apteryx_rowi ENSARWG00000015711
crocodylus_porosus ENSCPRG00005003862
crocodylus_porosus ENSCPRG00005003883
chelonoidis_abingdonii ENSCABG00000013972
gopherus_agassizii ENSGAGG00000015209
chrysemys_picta_bellii ENSCPBG00000004189
pelodiscus_sinensis ENSPSIG00000002508
anolis_carolinensis ENSACAG00000009857
pogona_vitticeps ENSPVIG00000014300
salvator_merianae ENSSMRG00000005566
sphenodon_punctatus ENSSPUG00000002117
notamacropus_eugenii ENSMEUG00000006649
phascolarctos_cinereus ENSPCIG00000019846
sarcophilus_harrisii ENSSHAG00000007372
monodelphis_domestica ENSMODG00000018173
choloepus_hoffmanni ENSCHOG00000005079
dasypus_novemcinctus ENSDNOG00000012315
pteropus_vampyrus ENSPVAG00000008519
myotis_lucifugus ENSMLUG00000004740
ursus_maritimus ENSUMAG00000025341
ursus_americanus ENSUAMG00000005021
ailuropoda_melanoleuca ENSAMEG00000005377
mustela_putorius_furo ENSMPUG00000000277
neovison_vison ENSNVIG00000013787
canis_lupus_dingo ENSCAFG00020006898
canis_lupus_familiaris ENSCAFG00000010787
vulpes_vulpes ENSVVUG00000022170
panthera_tigris_altaica ENSPTIG00000011530
panthera_pardus ENSPPRG00000001101
felis_catus ENSFCAG00000009553
erinaceus_europaeus ENSEEUG00000005432
sorex_araneus ENSSARG00000001012
equus_caballus ENSECAG00000016540
