neolamprologus_brichardi ENSNBRG00000007093
fundulus_heteroclitus ENSFHEG00000020784
takifugu_rubripes ENSTRUG00000022831
mola_mola ENSMMOG00000006129
labrus_bergylta ENSLBEG00000025471
amphiprion_ocellaris ENSAOCG00000003539
seriola_lalandi_dorsalis ENSSLDG00000012646
hippocampus_comes ENSHCOG00000009742
periophthalmus_magnuspinnatus ENSPMGG00000012987
gadus_morhua ENSGMOG00000000724
astyanax_mexicanus ENSAMXG00000041400
scleropages_formosus ENSSFOG00015002233
gopherus_agassizii ENSGAGG00000022605
chrysemys_picta_bellii ENSCPBG00000008192
anolis_carolinensis ENSACAG00000016434
bos_taurus ENSBTAG00000048402
microtus_ochrogaster ENSMOCG00000001346
loxodonta_africana ENSLAFG00000016747
sarcophilus_harrisii ENSSHAG00000010829
eptatretus_burgeri ENSEBUG00000003399
