poecilia_latipinna ENSPLAG00000001099
poecilia_mexicana ENSPMEG00000017573
poecilia_reticulata ENSPREG00000010621
xiphophorus_maculatus ENSXMAG00000029278
gambusia_affinis ENSGAFG00000020901
cyprinodon_variegatus ENSCVAG00000018830
oryzias_latipes_asm223471v1 ENSORLG00020019293
oryzias_latipes_asm223467v1 ENSORLG00000030650
oryzias_latipes_asm223469v1 ENSORLG00015001042
oryzias_melastigma ENSOMEG00000018947
scophthalmus_maximus ENSSMAG00000020677
seriola_lalandi_dorsalis ENSSLDG00000010323
monopterus_albus ENSMALG00000021296
mastacembelus_armatus ENSMAMG00000011897
hippocampus_comes ENSHCOG00000016479
periophthalmus_magnuspinnatus ENSPMGG00000002817
maylandia_zebra ENSMZEG00005004594
astatotilapia_calliptera ENSACLG00000014051
pundamilia_nyererei ENSPNYG00000011481
haplochromis_burtoni ENSHBUG00000022296
neolamprologus_brichardi ENSNBRG00000003270
amphilophus_citrinellus ENSACIG00000021674
anabas_testudineus ENSATEG00000021466
labrus_bergylta ENSLBEG00000018194
cynoglossus_semilaevis ENSCSEG00000007600
seriola_lalandi_dorsalis ENSSLDG00000025222
seriola_dumerili ENSSDUG00000009771
mola_mola ENSMMOG00000006270
takifugu_rubripes ENSTRUG00000021552
acanthochromis_polyacanthus ENSAPOG00000012983
amphiprion_ocellaris ENSAOCG00000004848
stegastes_partitus ENSSPAG00000007427
