pelodiscus_sinensis ENSPSIG00000005879
chelonoidis_abingdonii ENSCABG00000006685
apteryx_rowi ENSARWG00000000681
dromaius_novaehollandiae ENSDNVG00000003392
calidris_pygmaea ENSCPGG00000015491
coturnix_japonica ENSCJPG00005019361
anas_platyrhynchos_platyrhynchos ENSAPLG00000013301
manacus_vitellinus ENSMVIG00005005196
nothoprocta_perdicaria ENSNPEG00000010710
sphenodon_punctatus ENSSPUG00000006493
sphenodon_punctatus ENSSPUG00000002878
salvator_merianae ENSSMRG00000021829
anolis_carolinensis ENSACAG00000022716
anolis_carolinensis ENSACAG00000027958
monodelphis_domestica ENSMODG00000012296
sarcophilus_harrisii ENSSHAG00000013859
phascolarctos_cinereus ENSPCIG00000030041
phascolarctos_cinereus ENSPCIG00000006109
neovison_vison ENSNVIG00000006295
mustela_putorius_furo ENSMPUG00000015341
ursus_americanus ENSUAMG00000023279
ursus_maritimus ENSUMAG00000015743
ailuropoda_melanoleuca ENSAMEG00000005038
ailuropoda_melanoleuca ENSAMEG00000006108
canis_lupus_familiaris ENSCAFG00000016880
canis_lupus_dingo ENSCAFG00020023349
vulpes_vulpes ENSVVUG00000011158
vulpes_vulpes ENSVVUG00000025705
vulpes_vulpes ENSVVUG00000020903
vulpes_vulpes ENSVVUG00000003411
panthera_pardus ENSPPRG00000005588
panthera_tigris_altaica ENSPTIG00000018508
felis_catus ENSFCAG00000002344
capra_hircus ENSCHIG00000022262
gorilla_gorilla ENSGGOG00000011980
pan_paniscus ENSPPAG00000036466
rhinopithecus_bieti ENSRBIG00000039585
rhinopithecus_roxellana ENSRROG00000013667
colobus_angolensis_palliatus ENSCANG00000040168
macaca_nemestrina ENSMNEG00000034967
macaca_mulatta ENSMMUG00000015313
cercocebus_atys ENSCATG00000037469
mandrillus_leucophaeus ENSMLEG00000035754
rhinopithecus_bieti ENSRBIG00000037197
pan_troglodytes ENSPTRG00000046230
nomascus_leucogenys ENSNLEG00000033603
rhinopithecus_roxellana ENSRROG00000043798
rhinopithecus_bieti ENSRBIG00000030428
piliocolobus_tephrosceles ENSPTEG00000034369
theropithecus_gelada ENSTGEG00000013241
pan_paniscus ENSPPAG00000021994
pan_troglodytes ENSPTRG00000052006
gorilla_gorilla ENSGGOG00000041777
nomascus_leucogenys ENSNLEG00000027724
macaca_mulatta ENSMMUG00000040195
macaca_fascicularis ENSMFAG00000041981
macaca_nemestrina ENSMNEG00000041767
cercocebus_atys ENSCATG00000026398
colobus_angolensis_palliatus ENSCANG00000028291
aotus_nancymaae ENSANAG00000032396
callithrix_jacchus ENSCJAG00000022552
cebus_capucinus_imitator ENSCCAG00000024109
cebus_capucinus_imitator ENSCCAG00000032909
colobus_angolensis_palliatus ENSCANG00000041338
piliocolobus_tephrosceles ENSPTEG00000031007
rhinopithecus_bieti ENSRBIG00000044257
macaca_fascicularis ENSMFAG00000035377
cercocebus_atys ENSCATG00000000894
propithecus_coquereli ENSPCOG00000027849
callithrix_jacchus ENSCJAG00000022488
carlito_syrichta ENSTSYG00000028581
macaca_mulatta ENSMMUG00000015349
theropithecus_gelada ENSTGEG00000013333
colobus_angolensis_palliatus ENSCANG00000030348
nomascus_leucogenys ENSNLEG00000035471
aotus_nancymaae ENSANAG00000021757
prolemur_simus ENSPSMG00000016011
saimiri_boliviensis_boliviensis ENSSBOG00000028794
cebus_capucinus_imitator ENSCCAG00000035420
prolemur_simus ENSPSMG00000020369
propithecus_coquereli ENSPCOG00000008741
microcebus_murinus ENSMICG00000003414
tupaia_belangeri ENSTBEG00000003575
urocitellus_parryii ENSUPAG00010006195
castor_canadensis ENSCCNG00000013377
equus_asinus_asinus ENSEASG00005000406
equus_caballus ENSECAG00000019908
bos_mutus ENSBMUG00000000644
bos_taurus ENSBTAG00000018339
ovis_aries ENSOARG00000006653
capra_hircus ENSCHIG00000016881
tursiops_truncatus ENSTTRG00000008526
sus_scrofa ENSSSCG00000011945
myotis_lucifugus ENSMLUG00000011738
rattus_norvegicus ENSRNOG00000007235
rattus_norvegicus ENSRNOG00000031317
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017020
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017866
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000006057
mus_spicilegus ENSMSIG00000018986
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018150
meriones_unguiculatus ENSMUGG00000010930
meriones_unguiculatus ENSMUGG00000011181
meriones_unguiculatus ENSMUGG00000003927
cricetulus_griseus_crigri-picr ENSCGRG00015028785
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009537
cricetulus_griseus_crigri_1.0 ENSCGRG00000014092
cricetulus_griseus_crigri_1.0 ENSCGRG00000011389
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024350
cricetulus_griseus_crigri-picr ENSCGRG00015020160
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022606
