ochotona_princeps ENSOPRG00000009487
oryctolagus_cuniculus ENSOCUG00000021581
carlito_syrichta ENSTSYG00000003831
otolemur_garnettii ENSOGAG00000005301
otolemur_garnettii ENSOGAG00000025518
otolemur_garnettii ENSOGAG00000024946
otolemur_garnettii ENSOGAG00000027785
propithecus_coquereli ENSPCOG00000013898
propithecus_coquereli ENSPCOG00000020151
prolemur_simus ENSPSMG00000009501
microcebus_murinus ENSMICG00000005862
pan_troglodytes ENSPTRG00000044072
pan_troglodytes ENSPTRG00000022389
pan_paniscus ENSPPAG00000038780
homo_sapiens ENSG00000147400
gorilla_gorilla ENSGGOG00000011378
pongo_abelii ENSPPYG00000020833
nomascus_leucogenys ENSNLEG00000033913
macaca_mulatta ENSMMUG00000020743
macaca_nemestrina ENSMNEG00000032505
cercocebus_atys ENSCATG00000029834
chlorocebus_sabaeus ENSCSAG00000006984
papio_anubis ENSPANG00000021366
macaca_fascicularis ENSMFAG00000044996
macaca_mulatta ENSMMUG00000008471
papio_anubis ENSPANG00000036107
theropithecus_gelada ENSTGEG00000008423
mandrillus_leucophaeus ENSMLEG00000037026
piliocolobus_tephrosceles ENSPTEG00000019071
piliocolobus_tephrosceles ENSPTEG00000023028
rhinopithecus_roxellana ENSRROG00000029178
rhinopithecus_bieti ENSRBIG00000008672
colobus_angolensis_palliatus ENSCANG00000024073
callithrix_jacchus ENSCJAG00000016338
cebus_capucinus_imitator ENSCCAG00000032716
saimiri_boliviensis_boliviensis ENSSBOG00000022702
aotus_nancymaae ENSANAG00000031792
castor_canadensis ENSCCNG00000002324
dipodomys_ordii ENSDORG00000000131
spermophilus_dauricus ENSSDAG00000010448
spermophilus_dauricus ENSSDAG00000015514
urocitellus_parryii ENSUPAG00010020219
marmota_marmota_marmota ENSMMMG00000011853
marmota_marmota_marmota ENSMMMG00000010570
ictidomys_tridecemlineatus ENSSTOG00000023853
meriones_unguiculatus ENSMUGG00000001666
meriones_unguiculatus ENSMUGG00000025408
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034296
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031347
mus_spicilegus ENSMSIG00000024089
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033143
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031684
rattus_norvegicus ENSRNOG00000059593
microtus_ochrogaster ENSMOCG00000012459
microtus_ochrogaster ENSMOCG00000018256
cricetulus_griseus_crigri_1.0 ENSCGRG00000006082
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024926
cricetulus_griseus_crigri-picr ENSCGRG00015002113
cricetulus_griseus_crigri-picr ENSCGRG00015026191
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011859
mesocricetus_auratus ENSMAUG00000004140
peromyscus_maniculatus_bairdii ENSPEMG00000009693
nannospalax_galili ENSNGAG00000013931
octodon_degus ENSODEG00000019999
octodon_degus ENSODEG00000019043
octodon_degus ENSODEG00000003612
octodon_degus ENSODEG00000000946
chinchilla_lanigera ENSCLAG00000001433
cavia_aperea ENSCAPG00000007812
cavia_porcellus ENSCPOG00000012081
cavia_aperea ENSCAPG00000005829
cavia_porcellus ENSCPOG00000019890
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000679
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001960
fukomys_damarensis ENSFDAG00000014903
fukomys_damarensis ENSFDAG00000016936
fukomys_damarensis ENSFDAG00000006895
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001538
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011146
cavia_porcellus ENSCPOG00000003621
oryctolagus_cuniculus ENSOCUG00000007897
urocitellus_parryii ENSUPAG00010016936
vulpes_vulpes ENSVVUG00000005958
neovison_vison ENSNVIG00000004270
ursus_americanus ENSUAMG00000016332
equus_asinus_asinus ENSEASG00005013179
microcebus_murinus ENSMICG00000038295
myotis_lucifugus ENSMLUG00000014520
myotis_lucifugus ENSMLUG00000024956
myotis_lucifugus ENSMLUG00000025828
myotis_lucifugus ENSMLUG00000003488
pteropus_vampyrus ENSPVAG00000011767
equus_caballus ENSECAG00000000796
sorex_araneus ENSSARG00000010979
sorex_araneus ENSSARG00000004882
sorex_araneus ENSSARG00000011577
sus_scrofa ENSSSCG00000012757
sus_scrofa ENSSSCG00000037059
vicugna_pacos ENSVPAG00000007357
bos_mutus ENSBMUG00000021000
bos_taurus ENSBTAG00000007844
bison_bison_bison ENSBBBG00000024618
capra_hircus ENSCHIG00000019143
ovis_aries ENSOARG00000008227
tursiops_truncatus ENSTTRG00000001236
ursus_maritimus ENSUMAG00000021785
ailuropoda_melanoleuca ENSAMEG00000000364
