mola_mola ENSMMOG00000019741
labrus_bergylta ENSLBEG00000008722
gasterosteus_aculeatus ENSGACG00000003198
seriola_lalandi_dorsalis ENSSLDG00000014369
seriola_dumerili ENSSDUG00000002731
cynoglossus_semilaevis ENSCSEG00000013965
anabas_testudineus ENSATEG00000009518
monopterus_albus ENSMALG00000006193
fundulus_heteroclitus ENSFHEG00000004563
cyprinodon_variegatus ENSCVAG00000013785
kryptolebias_marmoratus ENSKMAG00000016488
amphiprion_ocellaris ENSAOCG00000019129
amphiprion_percula ENSAPEG00000024015
acanthochromis_polyacanthus ENSAPOG00000022472
stegastes_partitus ENSSPAG00000007278
maylandia_zebra ENSMZEG00005010117
astatotilapia_calliptera ENSACLG00000020840
pundamilia_nyererei ENSPNYG00000022100
haplochromis_burtoni ENSHBUG00000010096
neolamprologus_brichardi ENSNBRG00000008472
oreochromis_niloticus ENSONIG00000011089
amphilophus_citrinellus ENSACIG00000012080
periophthalmus_magnuspinnatus ENSPMGG00000017703
scophthalmus_maximus ENSSMAG00000015575
xiphophorus_maculatus ENSXMAG00000005837
gambusia_affinis ENSGAFG00000014824
xiphophorus_couchianus ENSXCOG00000007691
poecilia_mexicana ENSPMEG00000005572
poecilia_latipinna ENSPLAG00000015558
poecilia_formosa ENSPFOG00000006935
poecilia_reticulata ENSPREG00000021613
oryzias_latipes_asm223471v1 ENSORLG00020018499
oryzias_latipes_asm223467v1 ENSORLG00000012643
oryzias_latipes_asm223469v1 ENSORLG00015009473
oryzias_melastigma ENSOMEG00000013165
mastacembelus_armatus ENSMAMG00000015249
hippocampus_comes ENSHCOG00000012107
takifugu_rubripes ENSTRUG00000006303
tetraodon_nigroviridis ENSTNIG00000002828
gadus_morhua ENSGMOG00000001822
esox_lucius ENSELUG00000010746
pygocentrus_nattereri ENSPNAG00000000961
astyanax_mexicanus ENSAMXG00000038248
ictalurus_punctatus ENSIPUG00000009054
danio_rerio ENSDARG00000100206
paramormyrops_kingsleyae ENSPKIG00000014845
scleropages_formosus ENSSFOG00015023633
lepisosteus_oculatus ENSLOCG00000003558
anser_brachyrhynchus ENSABRG00000021508
anas_platyrhynchos_platyrhynchos ENSAPLG00000006655
gallus_gallus ENSGALG00000037315
coturnix_japonica ENSCJPG00005014757
meleagris_gallopavo ENSMGAG00000007423
numida_meleagris ENSNMEG00000000789
manacus_vitellinus ENSMVIG00005013167
lepidothrix_coronata ENSLCOG00000012330
lonchura_striata_domestica ENSLSDG00000005839
taeniopygia_guttata ENSTGUG00000007641
serinus_canaria ENSSCAG00000006876
junco_hyemalis ENSJHYG00000004652
zonotrichia_albicollis ENSZALG00000013908
