poecilia_mexicana ENSPMEG00000002146
poecilia_reticulata ENSPREG00000003689
poecilia_latipinna ENSPLAG00000003116
poecilia_formosa ENSPFOG00000002104
xiphophorus_maculatus ENSXMAG00000004879
gambusia_affinis ENSGAFG00000018353
cyprinodon_variegatus ENSCVAG00000013830
fundulus_heteroclitus ENSFHEG00000023462
kryptolebias_marmoratus ENSKMAG00000001944
oryzias_latipes_asm223469v1 ENSORLG00015012984
oryzias_latipes_asm223467v1 ENSORLG00000021890
oryzias_latipes_asm223471v1 ENSORLG00020002343
oryzias_melastigma ENSOMEG00000015463
cynoglossus_semilaevis ENSCSEG00000008792
amphiprion_ocellaris ENSAOCG00000024335
amphiprion_percula ENSAPEG00000016326
acanthochromis_polyacanthus ENSAPOG00000006571
stegastes_partitus ENSSPAG00000006356
labrus_bergylta ENSLBEG00000000237
hippocampus_comes ENSHCOG00000010876
monopterus_albus ENSMALG00000017942
mastacembelus_armatus ENSMAMG00000010590
pundamilia_nyererei ENSPNYG00000008204
maylandia_zebra ENSMZEG00005006942
astatotilapia_calliptera ENSACLG00000021182
haplochromis_burtoni ENSHBUG00000020167
neolamprologus_brichardi ENSNBRG00000009177
amphilophus_citrinellus ENSACIG00000015745
takifugu_rubripes ENSTRUG00000008757
seriola_dumerili ENSSDUG00000007361
seriola_lalandi_dorsalis ENSSLDG00000007948
scophthalmus_maximus ENSSMAG00000011529
anabas_testudineus ENSATEG00000017408
periophthalmus_magnuspinnatus ENSPMGG00000023615
astyanax_mexicanus ENSAMXG00000037747
pygocentrus_nattereri ENSPNAG00000017845
ictalurus_punctatus ENSIPUG00000004316
esox_lucius ENSELUG00000003290
scleropages_formosus ENSSFOG00015012561
paramormyrops_kingsleyae ENSPKIG00000022505
lepisosteus_oculatus ENSLOCG00000011551
chelonoidis_abingdonii ENSCABG00000021871
gopherus_agassizii ENSGAGG00000010909
chrysemys_picta_bellii ENSCPBG00000022452
dromaius_novaehollandiae ENSDNVG00000016949
nothoprocta_perdicaria ENSNPEG00000002680
apteryx_rowi ENSARWG00000016927
apteryx_haastii ENSAHAG00000008566
apteryx_owenii ENSAOWG00000005569
