tupaia_belangeri ENSTBEG00000002951
carlito_syrichta ENSTSYG00000026300
castor_canadensis ENSCCNG00000022155
dipodomys_ordii ENSDORG00000025307
cricetulus_griseus_crigri-picr ENSCGRG00015025533
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008213
mesocricetus_auratus ENSMAUG00000004779
microtus_ochrogaster ENSMOCG00000014067
peromyscus_maniculatus_bairdii ENSPEMG00000007663
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025480
mus_spicilegus ENSMSIG00000004982
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027624
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024558
rattus_norvegicus ENSRNOG00000057817
nannospalax_galili ENSNGAG00000016026
jaculus_jaculus ENSJJAG00000023510
chinchilla_lanigera ENSCLAG00000017026
octodon_degus ENSODEG00000014523
cavia_porcellus ENSCPOG00000012245
cavia_aperea ENSCAPG00000007760
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015523
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018827
fukomys_damarensis ENSFDAG00000011012
urocitellus_parryii ENSUPAG00010003586
ictidomys_tridecemlineatus ENSSTOG00000011029
spermophilus_dauricus ENSSDAG00000021210
marmota_marmota_marmota ENSMMMG00000022952
prolemur_simus ENSPSMG00000019488
microcebus_murinus ENSMICG00000001698
propithecus_coquereli ENSPCOG00000024037
otolemur_garnettii ENSOGAG00000001709
pan_troglodytes ENSPTRG00000013455
pan_paniscus ENSPPAG00000033941
homo_sapiens ENSG00000088367
gorilla_gorilla ENSGGOG00000022733
pongo_abelii ENSPPYG00000010967
nomascus_leucogenys ENSNLEG00000010403
colobus_angolensis_palliatus ENSCANG00000032917
piliocolobus_tephrosceles ENSPTEG00000014786
rhinopithecus_bieti ENSRBIG00000024835
rhinopithecus_roxellana ENSRROG00000026788
macaca_mulatta ENSMMUG00000020690
macaca_fascicularis ENSMFAG00000039873
macaca_nemestrina ENSMNEG00000035349
chlorocebus_sabaeus ENSCSAG00000010047
cercocebus_atys ENSCATG00000040825
papio_anubis ENSPANG00000011731
mandrillus_leucophaeus ENSMLEG00000040810
theropithecus_gelada ENSTGEG00000003235
cebus_capucinus_imitator ENSCCAG00000034747
callithrix_jacchus ENSCJAG00000017428
saimiri_boliviensis_boliviensis ENSSBOG00000032900
aotus_nancymaae ENSANAG00000021436
capra_hircus ENSCHIG00000025392
ovis_aries ENSOARG00000015468
bos_mutus ENSBMUG00000009951
bos_taurus ENSBTAG00000001640
bison_bison_bison ENSBBBG00000003215
sus_scrofa ENSSSCG00000007314
ursus_maritimus ENSUMAG00000004176
ursus_americanus ENSUAMG00000013461
ailuropoda_melanoleuca ENSAMEG00000010011
mustela_putorius_furo ENSMPUG00000017782
neovison_vison ENSNVIG00000014175
canis_lupus_dingo ENSCAFG00020005807
canis_lupus_familiaris ENSCAFG00000008413
vulpes_vulpes ENSVVUG00000000720
panthera_tigris_altaica ENSPTIG00000014874
panthera_pardus ENSPPRG00000011277
felis_catus ENSFCAG00000031835
equus_asinus_asinus ENSEASG00005003495
equus_caballus ENSECAG00000017218
erinaceus_europaeus ENSEEUG00000002292
dasypus_novemcinctus ENSDNOG00000045062
dasypus_novemcinctus ENSDNOG00000044162
cricetulus_griseus_crigri_1.0 ENSCGRG00000009133
meriones_unguiculatus ENSMUGG00000002825
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026003
rattus_norvegicus ENSRNOG00000055809
myotis_lucifugus ENSMLUG00000011956
loxodonta_africana ENSLAFG00000006600
