acanthochromis_polyacanthus ENSAPOG00000016709
amphiprion_ocellaris ENSAOCG00000009968
kryptolebias_marmoratus ENSKMAG00000022291
scophthalmus_maximus ENSSMAG00000006977
cynoglossus_semilaevis ENSCSEG00000020165
gasterosteus_aculeatus ENSGACG00000011164
labrus_bergylta ENSLBEG00000007054
seriola_lalandi_dorsalis ENSSLDG00000005379
seriola_lalandi_dorsalis ENSSLDG00000010396
stegastes_partitus ENSSPAG00000009594
amphiprion_percula ENSAPEG00000022984
poecilia_formosa ENSPFOG00000004753
poecilia_latipinna ENSPLAG00000000680
poecilia_mexicana ENSPMEG00000015629
poecilia_reticulata ENSPREG00000019102
gambusia_affinis ENSGAFG00000015968
xiphophorus_maculatus ENSXMAG00000003343
fundulus_heteroclitus ENSFHEG00000000113
cyprinodon_variegatus ENSCVAG00000019014
oryzias_latipes_asm223471v1 ENSORLG00020014311
oryzias_latipes_asm223469v1 ENSORLG00015010157
oryzias_melastigma ENSOMEG00000009893
astatotilapia_calliptera ENSACLG00000002720
maylandia_zebra ENSMZEG00005009448
haplochromis_burtoni ENSHBUG00000001068
pundamilia_nyererei ENSPNYG00000021752
neolamprologus_brichardi ENSNBRG00000023790
oreochromis_niloticus ENSONIG00000002359
mastacembelus_armatus ENSMAMG00000004030
anabas_testudineus ENSATEG00000006050
amphilophus_citrinellus ENSACIG00000008860
xiphophorus_couchianus ENSXCOG00000010775
mola_mola ENSMMOG00000020270
periophthalmus_magnuspinnatus ENSPMGG00000022187
seriola_dumerili ENSSDUG00000000043
takifugu_rubripes ENSTRUG00000000667
tetraodon_nigroviridis ENSTNIG00000015483
hippocampus_comes ENSHCOG00000002481
gadus_morhua ENSGMOG00000006572
astyanax_mexicanus ENSAMXG00000015339
pygocentrus_nattereri ENSPNAG00000017186
ictalurus_punctatus ENSIPUG00000001350
danio_rerio ENSDARG00000075624
esox_lucius ENSELUG00000007876
scleropages_formosus ENSSFOG00015015785
paramormyrops_kingsleyae ENSPKIG00000006874
lepisosteus_oculatus ENSLOCG00000009332
ictalurus_punctatus ENSIPUG00000015145
paramormyrops_kingsleyae ENSPKIG00000019791
junco_hyemalis ENSJHYG00000009576
ficedula_albicollis ENSFALG00000005315
taeniopygia_guttata ENSTGUG00000008591
lepidothrix_coronata ENSLCOG00000015955
melopsittacus_undulatus ENSMUNG00000010990
calidris_pygmaea ENSCPGG00000012673
calidris_pugnax ENSCPUG00000011841
anser_brachyrhynchus ENSABRG00000015631
coturnix_japonica ENSCJPG00005010274
dromaius_novaehollandiae ENSDNVG00000008742
chrysemys_picta_bellii ENSCPBG00000010006
chelonoidis_abingdonii ENSCABG00000009039
sphenodon_punctatus ENSSPUG00000011602
crocodylus_porosus ENSCPRG00005018063
sphenodon_punctatus ENSSPUG00000008030
anolis_carolinensis ENSACAG00000010653
notechis_scutatus ENSNSUG00000016300
salvator_merianae ENSSMRG00000018300
manacus_vitellinus ENSMVIG00005011683
serinus_canaria ENSSCAG00000003637
anas_platyrhynchos_platyrhynchos ENSAPLG00000008052
gallus_gallus ENSGALG00000036909
numida_meleagris ENSNMEG00000021534
cyanistes_caeruleus ENSCCEG00000013343
parus_major ENSPMJG00000000641
lonchura_striata_domestica ENSLSDG00000012779
zonotrichia_albicollis ENSZALG00000002025
meleagris_gallopavo ENSMGAG00000010874
apteryx_haastii ENSAHAG00000013554
