cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013161
peromyscus_maniculatus_bairdii ENSPEMG00000026978
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016324
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015511
mus_spicilegus ENSMSIG00000005992
rattus_norvegicus ENSRNOG00000060598
nannospalax_galili ENSNGAG00000016261
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004261
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011013
castor_canadensis ENSCCNG00000026406
piliocolobus_tephrosceles ENSPTEG00000035675
theropithecus_gelada ENSTGEG00000008378
prolemur_simus ENSPSMG00000009436
equus_asinus_asinus ENSEASG00005003516
equus_caballus ENSECAG00000037674
sus_scrofa ENSSSCG00000037526
