microtus_ochrogaster ENSMOCG00000013036
mesocricetus_auratus ENSMAUG00000015208
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000103793
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022188
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023098
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018922
rattus_norvegicus ENSRNOG00000027296
jaculus_jaculus ENSJJAG00000012583
cavia_porcellus ENSCPOG00000030704
ochotona_princeps ENSOPRG00000018504
theropithecus_gelada ENSTGEG00000005418
mandrillus_leucophaeus ENSMLEG00000028960
homo_sapiens ENSG00000253731
otolemur_garnettii ENSOGAG00000027597
ailuropoda_melanoleuca ENSAMEG00000010707
ursus_maritimus ENSUMAG00000012687
mustela_putorius_furo ENSMPUG00000008327
equus_asinus_asinus ENSEASG00005018143
capra_hircus ENSCHIG00000024001
bos_mutus ENSBMUG00000017305
tursiops_truncatus ENSTTRG00000013722
vicugna_pacos ENSVPAG00000002489
choloepus_hoffmanni ENSCHOG00000008151
procavia_capensis ENSPCAG00000010467
