dromaius_novaehollandiae ENSDNVG00000011778
nothoprocta_perdicaria ENSNPEG00000002494
apteryx_owenii ENSAOWG00000006297
apteryx_haastii ENSAHAG00000019247
apteryx_rowi ENSARWG00000010819
taeniopygia_guttata ENSTGUG00000002902
lonchura_striata_domestica ENSLSDG00000000826
serinus_canaria ENSSCAG00000015039
zonotrichia_albicollis ENSZALG00000011299
junco_hyemalis ENSJHYG00000005737
ficedula_albicollis ENSFALG00000009475
cyanistes_caeruleus ENSCCEG00000005566
parus_major ENSPMJG00000001452
manacus_vitellinus ENSMVIG00005017602
lepidothrix_coronata ENSLCOG00000001693
calidris_pugnax ENSCPUG00000010839
calidris_pygmaea ENSCPGG00000004790
melopsittacus_undulatus ENSMUNG00000007183
anser_brachyrhynchus ENSABRG00000010233
anas_platyrhynchos_platyrhynchos ENSAPLG00000022676
gallus_gallus ENSGALG00000027925
coturnix_japonica ENSCJPG00005012527
meleagris_gallopavo ENSMGAG00000010687
numida_meleagris ENSNMEG00000007754
crocodylus_porosus ENSCPRG00005016093
chelonoidis_abingdonii ENSCABG00000019539
gopherus_agassizii ENSGAGG00000024724
chrysemys_picta_bellii ENSCPBG00000022496
pelodiscus_sinensis ENSPSIG00000002737
pogona_vitticeps ENSPVIG00000015324
anolis_carolinensis ENSACAG00000010401
notechis_scutatus ENSNSUG00000011834
salvator_merianae ENSSMRG00000003029
sphenodon_punctatus ENSSPUG00000016056
phascolarctos_cinereus ENSPCIG00000013705
notamacropus_eugenii ENSMEUG00000013399
sarcophilus_harrisii ENSSHAG00000016786
monodelphis_domestica ENSMODG00000000494
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013460
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004732
fukomys_damarensis ENSFDAG00000014009
octodon_degus ENSODEG00000009161
chinchilla_lanigera ENSCLAG00000006878
cavia_porcellus ENSCPOG00000030159
urocitellus_parryii ENSUPAG00010017403
ictidomys_tridecemlineatus ENSSTOG00000021230
marmota_marmota_marmota ENSMMMG00000006503
spermophilus_dauricus ENSSDAG00000021836
castor_canadensis ENSCCNG00000030723
dipodomys_ordii ENSDORG00000027678
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000079560
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029386
mus_spicilegus ENSMSIG00000009863
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028384
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022134
rattus_norvegicus ENSRNOG00000006281
rattus_norvegicus ENSRNOG00000061608
meriones_unguiculatus ENSMUGG00000001028
cricetulus_griseus_crigri-picr ENSCGRG00015021041
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023867
cricetulus_griseus_crigri_1.0 ENSCGRG00000007241
mesocricetus_auratus ENSMAUG00000001129
microtus_ochrogaster ENSMOCG00000004227
peromyscus_maniculatus_bairdii ENSPEMG00000028539
nannospalax_galili ENSNGAG00000016765
jaculus_jaculus ENSJJAG00000014001
ochotona_princeps ENSOPRG00000010401
oryctolagus_cuniculus ENSOCUG00000027405
tupaia_belangeri ENSTBEG00000010486
pan_troglodytes ENSPTRG00000019012
pan_troglodytes ENSPTRG00000047399
pan_paniscus ENSPPAG00000032603
homo_sapiens ENSG00000105997
gorilla_gorilla ENSGGOG00000002213
pongo_abelii ENSPPYG00000017706
nomascus_leucogenys ENSNLEG00000014980
colobus_angolensis_palliatus ENSCANG00000018370
piliocolobus_tephrosceles ENSPTEG00000021659
rhinopithecus_roxellana ENSRROG00000037793
rhinopithecus_bieti ENSRBIG00000029100
papio_anubis ENSPANG00000025912
theropithecus_gelada ENSTGEG00000021029
macaca_fascicularis ENSMFAG00000045540
macaca_nemestrina ENSMNEG00000045278
mandrillus_leucophaeus ENSMLEG00000039968
cercocebus_atys ENSCATG00000035121
macaca_mulatta ENSMMUG00000012813
chlorocebus_sabaeus ENSCSAG00000014267
cebus_capucinus_imitator ENSCCAG00000023332
saimiri_boliviensis_boliviensis ENSSBOG00000031444
callithrix_jacchus ENSCJAG00000043202
aotus_nancymaae ENSANAG00000021432
carlito_syrichta ENSTSYG00000036893
propithecus_coquereli ENSPCOG00000025444
microcebus_murinus ENSMICG00000030351
prolemur_simus ENSPSMG00000014673
otolemur_garnettii ENSOGAG00000027664
ursus_americanus ENSUAMG00000014239
ailuropoda_melanoleuca ENSAMEG00000005904
canis_lupus_familiaris ENSCAFG00000032285
canis_lupus_dingo ENSCAFG00020003578
vulpes_vulpes ENSVVUG00000024799
neovison_vison ENSNVIG00000012162
mustela_putorius_furo ENSMPUG00000004727
felis_catus ENSFCAG00000028952
panthera_pardus ENSPPRG00000010844
bos_mutus ENSBMUG00000002664
bos_taurus ENSBTAG00000008139
bison_bison_bison ENSBBBG00000005541
capra_hircus ENSCHIG00000014179
ovis_aries ENSOARG00000009797
tursiops_truncatus ENSTTRG00000006769
sus_scrofa ENSSSCG00000016705
myotis_lucifugus ENSMLUG00000014502
pteropus_vampyrus ENSPVAG00000002486
equus_caballus ENSECAG00000022055
equus_asinus_asinus ENSEASG00005022154
erinaceus_europaeus ENSEEUG00000003189
dasypus_novemcinctus ENSDNOG00000033211
choloepus_hoffmanni ENSCHOG00000009854
loxodonta_africana ENSLAFG00000023253
procavia_capensis ENSPCAG00000015473
ornithorhynchus_anatinus ENSOANG00000009165
xenopus_tropicalis ENSXETG00000000717
latimeria_chalumnae ENSLACG00000017247
pygocentrus_nattereri ENSPNAG00000021526
astyanax_mexicanus ENSAMXG00000009415
ictalurus_punctatus ENSIPUG00000022407
danio_rerio ENSDARG00000070339
paramormyrops_kingsleyae ENSPKIG00000003082
astatotilapia_calliptera ENSACLG00000023896
tetraodon_nigroviridis ENSTNIG00000001754
takifugu_rubripes ENSTRUG00000022811
gasterosteus_aculeatus ENSGACG00000007094
seriola_lalandi_dorsalis ENSSLDG00000006013
labrus_bergylta ENSLBEG00000001651
amphiprion_ocellaris ENSAOCG00000020502
amphiprion_percula ENSAPEG00000019555
acanthochromis_polyacanthus ENSAPOG00000021239
stegastes_partitus ENSSPAG00000000203
seriola_dumerili ENSSDUG00000004765
pundamilia_nyererei ENSPNYG00000020795
haplochromis_burtoni ENSHBUG00000016774
maylandia_zebra ENSMZEG00005010153
astatotilapia_calliptera ENSACLG00000001177
neolamprologus_brichardi ENSNBRG00000004849
oreochromis_niloticus ENSONIG00000004593
amphilophus_citrinellus ENSACIG00000002266
oryzias_latipes_asm223469v1 ENSORLG00015016417
oryzias_latipes_asm223467v1 ENSORLG00000027867
oryzias_latipes_asm223471v1 ENSORLG00020004251
mola_mola ENSMMOG00000000622
kryptolebias_marmoratus ENSKMAG00000019016
cynoglossus_semilaevis ENSCSEG00000014335
mastacembelus_armatus ENSMAMG00000007941
periophthalmus_magnuspinnatus ENSPMGG00000005694
anabas_testudineus ENSATEG00000001808
monopterus_albus ENSMALG00000000579
oryzias_melastigma ENSOMEG00000018727
hippocampus_comes ENSHCOG00000016709
scophthalmus_maximus ENSSMAG00000015176
gadus_morhua ENSGMOG00000013841
fundulus_heteroclitus ENSFHEG00000013849
cyprinodon_variegatus ENSCVAG00000010027
poecilia_formosa ENSPFOG00000002649
poecilia_mexicana ENSPMEG00000000439
poecilia_reticulata ENSPREG00000000557
gambusia_affinis ENSGAFG00000017863
xiphophorus_maculatus ENSXMAG00000028550
poecilia_latipinna ENSPLAG00000021890
xiphophorus_couchianus ENSXCOG00000001380
esox_lucius ENSELUG00000005012
pygocentrus_nattereri ENSPNAG00000000544
astyanax_mexicanus ENSAMXG00000029041
ictalurus_punctatus ENSIPUG00000011808
danio_rerio ENSDARG00000103862
scleropages_formosus ENSSFOG00015013599
paramormyrops_kingsleyae ENSPKIG00000000306
lepisosteus_oculatus ENSLOCG00000011801
anolis_carolinensis ENSACAG00000022360
pogona_vitticeps ENSPVIG00000006876
notechis_scutatus ENSNSUG00000002970
salvator_merianae ENSSMRG00000002523
calidris_pugnax ENSCPUG00000004993
