fundulus_heteroclitus ENSFHEG00000021186
cyprinodon_variegatus ENSCVAG00000010407
xiphophorus_maculatus ENSXMAG00000000828
xiphophorus_couchianus ENSXCOG00000020721
gambusia_affinis ENSGAFG00000007380
poecilia_formosa ENSPFOG00000004874
poecilia_latipinna ENSPLAG00000015616
poecilia_mexicana ENSPMEG00000000259
poecilia_reticulata ENSPREG00000014605
oryzias_latipes_asm223469v1 ENSORLG00015015072
oryzias_latipes_asm223471v1 ENSORLG00020009292
oryzias_latipes_asm223467v1 ENSORLG00000030571
oryzias_melastigma ENSOMEG00000004541
mola_mola ENSMMOG00000018371
labrus_bergylta ENSLBEG00000015469
amphiprion_ocellaris ENSAOCG00000011056
amphiprion_percula ENSAPEG00000020452
acanthochromis_polyacanthus ENSAPOG00000021255
stegastes_partitus ENSSPAG00000017038
mastacembelus_armatus ENSMAMG00000018076
monopterus_albus ENSMALG00000004518
anabas_testudineus ENSATEG00000019253
maylandia_zebra ENSMZEG00005016803
astatotilapia_calliptera ENSACLG00000014333
haplochromis_burtoni ENSHBUG00000000216
pundamilia_nyererei ENSPNYG00000015173
neolamprologus_brichardi ENSNBRG00000007798
oreochromis_niloticus ENSONIG00000002040
amphilophus_citrinellus ENSACIG00000022006
seriola_dumerili ENSSDUG00000021135
seriola_lalandi_dorsalis ENSSLDG00000008931
hippocampus_comes ENSHCOG00000012568
scophthalmus_maximus ENSSMAG00000015626
cynoglossus_semilaevis ENSCSEG00000001108
gasterosteus_aculeatus ENSGACG00000002977
tetraodon_nigroviridis ENSTNIG00000002727
takifugu_rubripes ENSTRUG00000012241
gadus_morhua ENSGMOG00000003459
esox_lucius ENSELUG00000003577
pygocentrus_nattereri ENSPNAG00000003747
astyanax_mexicanus ENSAMXG00000015278
ictalurus_punctatus ENSIPUG00000021025
danio_rerio ENSDARG00000060469
paramormyrops_kingsleyae ENSPKIG00000013607
scleropages_formosus ENSSFOG00015012765
lepisosteus_oculatus ENSLOCG00000001622
phascolarctos_cinereus ENSPCIG00000027899
notamacropus_eugenii ENSMEUG00000012308
sarcophilus_harrisii ENSSHAG00000008449
monodelphis_domestica ENSMODG00000012017
carlito_syrichta ENSTSYG00000010695
tupaia_belangeri ENSTBEG00000008674
oryctolagus_cuniculus ENSOCUG00000002495
mustela_putorius_furo ENSMPUG00000001752
ursus_maritimus ENSUMAG00000017674
ailuropoda_melanoleuca ENSAMEG00000004733
neovison_vison ENSNVIG00000004069
canis_lupus_familiaris ENSCAFG00000006049
canis_lupus_dingo ENSCAFG00020027438
vulpes_vulpes ENSVVUG00000002514
panthera_tigris_altaica ENSPTIG00000013702
panthera_pardus ENSPPRG00000005985
felis_catus ENSFCAG00000013508
bos_taurus ENSBTAG00000020787
bos_mutus ENSBMUG00000018445
bison_bison_bison ENSBBBG00000010043
capra_hircus ENSCHIG00000025923
sus_scrofa ENSSSCG00000029094
erinaceus_europaeus ENSEEUG00000008597
sorex_araneus ENSSARG00000006866
equus_asinus_asinus ENSEASG00005005636
equus_caballus ENSECAG00000018119
myotis_lucifugus ENSMLUG00000006103
pteropus_vampyrus ENSPVAG00000006829
propithecus_coquereli ENSPCOG00000023995
microcebus_murinus ENSMICG00000049166
prolemur_simus ENSPSMG00000014399
otolemur_garnettii ENSOGAG00000007819
