heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005696
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014686
octodon_degus ENSODEG00000011799
otolemur_garnettii ENSOGAG00000013218
capra_hircus ENSCHIG00000016738
myotis_lucifugus ENSMLUG00000013869
mustela_putorius_furo ENSMPUG00000004940
ailuropoda_melanoleuca ENSAMEG00000009528
erinaceus_europaeus ENSEEUG00000010022
echinops_telfairi ENSETEG00000016841
ochotona_princeps ENSOPRG00000000738
ovis_aries ENSOARG00000000426
procavia_capensis ENSPCAG00000010279
fukomys_damarensis ENSFDAG00000007231
chinchilla_lanigera ENSCLAG00000010995
pan_paniscus ENSPPAG00000031971
pan_troglodytes ENSPTRG00000006312
gorilla_gorilla ENSGGOG00000007077
nomascus_leucogenys ENSNLEG00000011953
cercocebus_atys ENSCATG00000031196
mandrillus_leucophaeus ENSMLEG00000031131
papio_anubis ENSPANG00000033998
macaca_mulatta ENSMMUG00000029367
rhinopithecus_roxellana ENSRROG00000042907
rhinopithecus_bieti ENSRBIG00000041822
colobus_angolensis_palliatus ENSCANG00000028990
piliocolobus_tephrosceles ENSPTEG00000001379
choloepus_hoffmanni ENSCHOG00000010797
sarcophilus_harrisii ENSSHAG00000005584
monodelphis_domestica ENSMODG00000011376
cyanistes_caeruleus ENSCCEG00000022349
parus_major ENSPMJG00000013864
melopsittacus_undulatus ENSMUNG00000006456
notechis_scutatus ENSNSUG00000007304
stegastes_partitus ENSSPAG00000009639
cyprinodon_variegatus ENSCVAG00000004609
poecilia_latipinna ENSPLAG00000012091
poecilia_formosa ENSPFOG00000015337
gambusia_affinis ENSGAFG00000006809
xiphophorus_maculatus ENSXMAG00000008326
fundulus_heteroclitus ENSFHEG00000018419
oryzias_latipes_asm223467v1 ENSORLG00000015002
oryzias_latipes_asm223469v1 ENSORLG00015004222
anabas_testudineus ENSATEG00000000779
gadus_morhua ENSGMOG00000010799
labrus_bergylta ENSLBEG00000024520
esox_lucius ENSELUG00000011749
lepisosteus_oculatus ENSLOCG00000011385
ictidomys_tridecemlineatus ENSSTOG00000032771
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018713
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020187
macaca_mulatta ENSMMUG00000038876
pan_paniscus ENSPPAG00000010296
bos_taurus ENSBTAG00000025666
bison_bison_bison ENSBBBG00000021233
ovis_aries ENSOARG00000019935
canis_lupus_dingo ENSCAFG00020026848
capra_hircus ENSCHIG00000008410
ursus_maritimus ENSUMAG00000021041
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011398
cricetulus_griseus_crigri-picr ENSCGRG00015016062
cricetulus_griseus_crigri_1.0 ENSCGRG00000019676
peromyscus_maniculatus_bairdii ENSPEMG00000030623
mus_spicilegus ENSMSIG00000017237
mus_spicilegus ENSMSIG00000021554
aotus_nancymaae ENSANAG00000016047
papio_anubis ENSPANG00000036041
mus_spicilegus ENSMSIG00000024292
octodon_degus ENSODEG00000020421
macaca_fascicularis ENSMFAG00000011609
cricetulus_griseus_crigri_1.0 ENSCGRG00000019296
cricetulus_griseus_crigri-picr ENSCGRG00015022278
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015495
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008847
cricetulus_griseus_crigri_1.0 ENSCGRG00000018452
cricetulus_griseus_crigri-picr ENSCGRG00015017215
jaculus_jaculus ENSJJAG00000014692
bison_bison_bison ENSBBBG00000003600
canis_lupus_dingo ENSCAFG00020000128
ictidomys_tridecemlineatus ENSSTOG00000006936
jaculus_jaculus ENSJJAG00000021494
ochotona_princeps ENSOPRG00000009148
tupaia_belangeri ENSTBEG00000002475
macaca_fascicularis ENSMFAG00000045980
macaca_nemestrina ENSMNEG00000031083
theropithecus_gelada ENSTGEG00000006740
homo_sapiens ENSG00000213741
cebus_capucinus_imitator ENSCCAG00000038080
vicugna_pacos ENSVPAG00000008670
tursiops_truncatus ENSTTRG00000007629
sorex_araneus ENSSARG00000002131
pteropus_vampyrus ENSPVAG00000013474
choloepus_hoffmanni ENSCHOG00000013573
phascolarctos_cinereus ENSPCIG00000032972
phascolarctos_cinereus ENSPCIG00000035221
monodelphis_domestica ENSMODG00000024853
pygocentrus_nattereri ENSPNAG00000020504
ictalurus_punctatus ENSIPUG00000022139
amphiprion_ocellaris ENSAOCG00000024052
poecilia_mexicana ENSPMEG00000008329
mastacembelus_armatus ENSMAMG00000013439
scophthalmus_maximus ENSSMAG00000006893
tetraodon_nigroviridis ENSTNIG00000010977
kryptolebias_marmoratus ENSKMAG00000019695
oryzias_latipes_asm223471v1 ENSORLG00020009469
amphiprion_percula ENSAPEG00000023282
takifugu_rubripes ENSTRUG00000012333
periophthalmus_magnuspinnatus ENSPMGG00000005504
seriola_lalandi_dorsalis ENSSLDG00000000846
hippocampus_comes ENSHCOG00000014532
monopterus_albus ENSMALG00000016951
acanthochromis_polyacanthus ENSAPOG00000019676
scleropages_formosus ENSSFOG00015018708
latimeria_chalumnae ENSLACG00000015942
