gorilla_gorilla ENSGGOG00000037494
homo_sapiens ENSG00000197016
pan_troglodytes ENSPTRG00000051121
pan_paniscus ENSPPAG00000040887
pongo_abelii ENSPPYG00000010452
nomascus_leucogenys ENSNLEG00000030367
rhinopithecus_bieti ENSRBIG00000041159
rhinopithecus_roxellana ENSRROG00000031396
colobus_angolensis_palliatus ENSCANG00000038139
piliocolobus_tephrosceles ENSPTEG00000001138
theropithecus_gelada ENSTGEG00000014276
cercocebus_atys ENSCATG00000042389
macaca_fascicularis ENSMFAG00000038484
macaca_mulatta ENSMMUG00000038362
macaca_nemestrina ENSMNEG00000038442
papio_anubis ENSPANG00000009358
mandrillus_leucophaeus ENSMLEG00000034609
chlorocebus_sabaeus ENSCSAG00000001665
cebus_capucinus_imitator ENSCCAG00000021807
saimiri_boliviensis_boliviensis ENSSBOG00000030997
callithrix_jacchus ENSCJAG00000041092
aotus_nancymaae ENSANAG00000025555
carlito_syrichta ENSTSYG00000010649
propithecus_coquereli ENSPCOG00000024975
prolemur_simus ENSPSMG00000017298
microcebus_murinus ENSMICG00000027019
otolemur_garnettii ENSOGAG00000004900
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018451
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006250
castor_canadensis ENSCCNG00000005865
tupaia_belangeri ENSTBEG00000007570
rattus_norvegicus ENSRNOG00000059987
meriones_unguiculatus ENSMUGG00000019158
cricetulus_griseus_crigri_1.0 ENSCGRG00000010338
cricetulus_griseus_crigri-picr ENSCGRG00015024118
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000645
peromyscus_maniculatus_bairdii ENSPEMG00000024631
rattus_norvegicus ENSRNOG00000037366
rattus_norvegicus ENSRNOG00000059938
meriones_unguiculatus ENSMUGG00000000497
nannospalax_galili ENSNGAG00000015183
nomascus_leucogenys ENSNLEG00000016975
bos_mutus ENSBMUG00000016639
bos_taurus ENSBTAG00000046101
bison_bison_bison ENSBBBG00000009030
capra_hircus ENSCHIG00000023374
tursiops_truncatus ENSTTRG00000008787
sus_scrofa ENSSSCG00000039914
pteropus_vampyrus ENSPVAG00000004619
myotis_lucifugus ENSMLUG00000003483
ursus_maritimus ENSUMAG00000024763
ursus_americanus ENSUAMG00000025242
ailuropoda_melanoleuca ENSAMEG00000010006
neovison_vison ENSNVIG00000012882
mustela_putorius_furo ENSMPUG00000006636
canis_lupus_familiaris ENSCAFG00000032312
canis_lupus_dingo ENSCAFG00020015139
vulpes_vulpes ENSVVUG00000006548
panthera_pardus ENSPPRG00000011217
panthera_tigris_altaica ENSPTIG00000012054
felis_catus ENSFCAG00000034495
equus_caballus ENSECAG00000014375
equus_asinus_asinus ENSEASG00005020464
dasypus_novemcinctus ENSDNOG00000036311
choloepus_hoffmanni ENSCHOG00000010047
