cavia_porcellus ENSCPOG00000032049
cavia_aperea ENSCAPG00000007941
chinchilla_lanigera ENSCLAG00000015131
octodon_degus ENSODEG00000009200
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004146
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011349
fukomys_damarensis ENSFDAG00000001356
castor_canadensis ENSCCNG00000026494
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029975
mus_spicilegus ENSMSIG00000030114
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000033082
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028931
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022694
rattus_norvegicus ENSRNOG00000060460
meriones_unguiculatus ENSMUGG00000014281
cricetulus_griseus_crigri-picr ENSCGRG00015025468
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008441
cricetulus_griseus_crigri_1.0 ENSCGRG00000018367
mesocricetus_auratus ENSMAUG00000009798
microtus_ochrogaster ENSMOCG00000015147
peromyscus_maniculatus_bairdii ENSPEMG00000028304
nannospalax_galili ENSNGAG00000016492
jaculus_jaculus ENSJJAG00000021912
urocitellus_parryii ENSUPAG00010004044
ictidomys_tridecemlineatus ENSSTOG00000005643
spermophilus_dauricus ENSSDAG00000020745
marmota_marmota_marmota ENSMMMG00000021640
oryctolagus_cuniculus ENSOCUG00000016791
ochotona_princeps ENSOPRG00000015366
tupaia_belangeri ENSTBEG00000007229
pan_paniscus ENSPPAG00000042203
pan_troglodytes ENSPTRG00000004666
homo_sapiens ENSG00000150048
gorilla_gorilla ENSGGOG00000008545
pongo_abelii ENSPPYG00000004265
nomascus_leucogenys ENSNLEG00000003121
colobus_angolensis_palliatus ENSCANG00000041586
piliocolobus_tephrosceles ENSPTEG00000007799
rhinopithecus_roxellana ENSRROG00000040102
rhinopithecus_bieti ENSRBIG00000039816
theropithecus_gelada ENSTGEG00000003820
papio_anubis ENSPANG00000017982
cercocebus_atys ENSCATG00000015285
macaca_fascicularis ENSMFAG00000033898
macaca_nemestrina ENSMNEG00000034357
macaca_mulatta ENSMMUG00000005832
mandrillus_leucophaeus ENSMLEG00000031760
chlorocebus_sabaeus ENSCSAG00000009174
cebus_capucinus_imitator ENSCCAG00000034998
saimiri_boliviensis_boliviensis ENSSBOG00000003430
callithrix_jacchus ENSCJAG00000021674
aotus_nancymaae ENSANAG00000020577
carlito_syrichta ENSTSYG00000001872
propithecus_coquereli ENSPCOG00000002386
microcebus_murinus ENSMICG00000004930
prolemur_simus ENSPSMG00000004124
otolemur_garnettii ENSOGAG00000000851
bos_taurus ENSBTAG00000030424
bos_mutus ENSBMUG00000021106
bison_bison_bison ENSBBBG00000023369
capra_hircus ENSCHIG00000023055
ovis_aries ENSOARG00000021016
tursiops_truncatus ENSTTRG00000005819
vicugna_pacos ENSVPAG00000002098
sus_scrofa ENSSSCG00000000649
ursus_americanus ENSUAMG00000023410
ursus_maritimus ENSUMAG00000016288
ailuropoda_melanoleuca ENSAMEG00000003909
mustela_putorius_furo ENSMPUG00000006362
neovison_vison ENSNVIG00000010398
canis_lupus_dingo ENSCAFG00020006202
vulpes_vulpes ENSVVUG00000005176
panthera_pardus ENSPPRG00000013609
panthera_tigris_altaica ENSPTIG00000011796
felis_catus ENSFCAG00000035215
erinaceus_europaeus ENSEEUG00000006541
myotis_lucifugus ENSMLUG00000008894
equus_caballus ENSECAG00000009079
equus_asinus_asinus ENSEASG00005014807
loxodonta_africana ENSLAFG00000003552
procavia_capensis ENSPCAG00000003479
echinops_telfairi ENSETEG00000004464
choloepus_hoffmanni ENSCHOG00000009197
dasypus_novemcinctus ENSDNOG00000010187
dipodomys_ordii ENSDORG00000023670
phascolarctos_cinereus ENSPCIG00000015301
notamacropus_eugenii ENSMEUG00000010982
sarcophilus_harrisii ENSSHAG00000008100
monodelphis_domestica ENSMODG00000018258
