myotis_lucifugus ENSMLUG00000023529
equus_caballus ENSECAG00000006743
mustela_putorius_furo ENSMPUG00000019773
neovison_vison ENSNVIG00000001861
ailuropoda_melanoleuca ENSAMEG00000018563
sus_scrofa ENSSSCG00000034428
sus_scrofa ENSSSCG00000035743
bos_taurus ENSBTAG00000039315
ovis_aries ENSOARG00000019805
prolemur_simus ENSPSMG00000021618
otolemur_garnettii ENSOGAG00000032582
piliocolobus_tephrosceles ENSPTEG00000016470
theropithecus_gelada ENSTGEG00000013977
loxodonta_africana ENSLAFG00000030811
