panthera_pardus ENSPPRG00000008657
panthera_tigris_altaica ENSPTIG00000010349
felis_catus ENSFCAG00000040917
neovison_vison ENSNVIG00000018789
bison_bison_bison ENSBBBG00000018579
cebus_capucinus_imitator ENSCCAG00000022723
saimiri_boliviensis_boliviensis ENSSBOG00000021262
callithrix_jacchus ENSCJAG00000042619
aotus_nancymaae ENSANAG00000029364
homo_sapiens ENSG00000196421
pan_troglodytes ENSPTRG00000048187
gorilla_gorilla ENSGGOG00000038119
nomascus_leucogenys ENSNLEG00000027694
macaca_fascicularis ENSMFAG00000035663
macaca_nemestrina ENSMNEG00000031468
papio_anubis ENSPANG00000032029
theropithecus_gelada ENSTGEG00000008110
cercocebus_atys ENSCATG00000030700
mandrillus_leucophaeus ENSMLEG00000034680
colobus_angolensis_palliatus ENSCANG00000041530
piliocolobus_tephrosceles ENSPTEG00000007756
rhinopithecus_bieti ENSRBIG00000042084
rhinopithecus_roxellana ENSRROG00000040774
carlito_syrichta ENSTSYG00000031404
propithecus_coquereli ENSPCOG00000023872
prolemur_simus ENSPSMG00000000409
microcebus_murinus ENSMICG00000047852
mus_spicilegus ENSMSIG00000012402
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000108976
rattus_norvegicus ENSRNOG00000043071
meriones_unguiculatus ENSMUGG00000003378
cricetulus_griseus_crigri-picr ENSCGRG00015018238
cricetulus_griseus_crigri_1.0 ENSCGRG00000010140
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023146
mesocricetus_auratus ENSMAUG00000010165
microtus_ochrogaster ENSMOCG00000019103
peromyscus_maniculatus_bairdii ENSPEMG00000017528
nannospalax_galili ENSNGAG00000005357
jaculus_jaculus ENSJJAG00000001750
castor_canadensis ENSCCNG00000030616
ictidomys_tridecemlineatus ENSSTOG00000029997
spermophilus_dauricus ENSSDAG00000008024
urocitellus_parryii ENSUPAG00010003516
marmota_marmota_marmota ENSMMMG00000000267
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014376
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015626
fukomys_damarensis ENSFDAG00000006497
chinchilla_lanigera ENSCLAG00000003555
octodon_degus ENSODEG00000004800
cavia_aperea ENSCAPG00000014411
cavia_porcellus ENSCPOG00000039110
sarcophilus_harrisii ENSSHAG00000016801
