kryptolebias_marmoratus ENSKMAG00000018470
cynoglossus_semilaevis ENSCSEG00000001060
mastacembelus_armatus ENSMAMG00000010287
monopterus_albus ENSMALG00000013596
anabas_testudineus ENSATEG00000016113
seriola_dumerili ENSSDUG00000002364
seriola_lalandi_dorsalis ENSSLDG00000023512
scophthalmus_maximus ENSSMAG00000013219
amphiprion_ocellaris ENSAOCG00000003923
amphiprion_ocellaris ENSAOCG00000024316
amphiprion_percula ENSAPEG00000024598
acanthochromis_polyacanthus ENSAPOG00000015377
stegastes_partitus ENSSPAG00000014997
pundamilia_nyererei ENSPNYG00000000323
haplochromis_burtoni ENSHBUG00000023206
maylandia_zebra ENSMZEG00005006207
astatotilapia_calliptera ENSACLG00000020637
neolamprologus_brichardi ENSNBRG00000020729
oreochromis_niloticus ENSONIG00000003402
amphilophus_citrinellus ENSACIG00000005014
xiphophorus_couchianus ENSXCOG00000000474
xiphophorus_maculatus ENSXMAG00000001938
gambusia_affinis ENSGAFG00000008522
poecilia_formosa ENSPFOG00000021710
poecilia_latipinna ENSPLAG00000020273
poecilia_mexicana ENSPMEG00000024253
poecilia_reticulata ENSPREG00000019663
fundulus_heteroclitus ENSFHEG00000010374
cyprinodon_variegatus ENSCVAG00000009579
oryzias_latipes_asm223471v1 ENSORLG00020019928
oryzias_latipes_asm223469v1 ENSORLG00015019202
oryzias_melastigma ENSOMEG00000012436
mola_mola ENSMMOG00000018617
takifugu_rubripes ENSTRUG00000024344
labrus_bergylta ENSLBEG00000025407
gasterosteus_aculeatus ENSGACG00000015113
hippocampus_comes ENSHCOG00000020354
periophthalmus_magnuspinnatus ENSPMGG00000022332
gadus_morhua ENSGMOG00000008245
esox_lucius ENSELUG00000011857
pygocentrus_nattereri ENSPNAG00000013465
astyanax_mexicanus ENSAMXG00000008576
ictalurus_punctatus ENSIPUG00000014643
danio_rerio ENSDARG00000056650
lepisosteus_oculatus ENSLOCG00000007736
