peromyscus_maniculatus_bairdii ENSPEMG00000012845
cricetulus_griseus_crigri-picr ENSCGRG00015015773
microtus_ochrogaster ENSMOCG00000019074
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000118272
nannospalax_galili ENSNGAG00000004957
castor_canadensis ENSCCNG00000029296
marmota_marmota_marmota ENSMMMG00000020823
urocitellus_parryii ENSUPAG00010005719
chinchilla_lanigera ENSCLAG00000009161
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020655
homo_sapiens ENSG00000284479
saimiri_boliviensis_boliviensis ENSSBOG00000021156
