eptatretus_burgeri ENSEBUG00000002561
petromyzon_marinus ENSPMAG00000001927
seriola_lalandi_dorsalis ENSSLDG00000017360
seriola_dumerili ENSSDUG00000011961
scophthalmus_maximus ENSSMAG00000020489
xiphophorus_maculatus ENSXMAG00000017018
gambusia_affinis ENSGAFG00000002552
poecilia_mexicana ENSPMEG00000013577
poecilia_formosa ENSPFOG00000005179
poecilia_latipinna ENSPLAG00000015928
poecilia_reticulata ENSPREG00000016715
fundulus_heteroclitus ENSFHEG00000023029
cyprinodon_variegatus ENSCVAG00000013802
kryptolebias_marmoratus ENSKMAG00000020846
oryzias_latipes_asm223467v1 ENSORLG00000012593
oryzias_latipes_asm223471v1 ENSORLG00020012393
oryzias_latipes_asm223469v1 ENSORLG00015020602
oryzias_melastigma ENSOMEG00000004911
maylandia_zebra ENSMZEG00005012210
astatotilapia_calliptera ENSACLG00000003086
pundamilia_nyererei ENSPNYG00000010788
haplochromis_burtoni ENSHBUG00000000946
neolamprologus_brichardi ENSNBRG00000001913
oreochromis_niloticus ENSONIG00000005518
amphilophus_citrinellus ENSACIG00000012452
amphiprion_ocellaris ENSAOCG00000003292
amphiprion_percula ENSAPEG00000020189
acanthochromis_polyacanthus ENSAPOG00000010728
stegastes_partitus ENSSPAG00000017294
monopterus_albus ENSMALG00000009440
mastacembelus_armatus ENSMAMG00000003973
anabas_testudineus ENSATEG00000002414
mola_mola ENSMMOG00000004360
mola_mola ENSMMOG00000014910
labrus_bergylta ENSLBEG00000011676
gasterosteus_aculeatus ENSGACG00000007053
periophthalmus_magnuspinnatus ENSPMGG00000015771
hippocampus_comes ENSHCOG00000011768
cynoglossus_semilaevis ENSCSEG00000001844
tetraodon_nigroviridis ENSTNIG00000003339
tetraodon_nigroviridis ENSTNIG00000002102
takifugu_rubripes ENSTRUG00000006141
gadus_morhua ENSGMOG00000009029
esox_lucius ENSELUG00000008772
pygocentrus_nattereri ENSPNAG00000014256
astyanax_mexicanus ENSAMXG00000029474
ictalurus_punctatus ENSIPUG00000015059
danio_rerio ENSDARG00000079848
scleropages_formosus ENSSFOG00015001520
paramormyrops_kingsleyae ENSPKIG00000024697
lepisosteus_oculatus ENSLOCG00000003174
macaca_nemestrina ENSMNEG00000029760
mandrillus_leucophaeus ENSMLEG00000035612
pongo_abelii ENSPPYG00000014229
gorilla_gorilla ENSGGOG00000042878
pan_troglodytes ENSPTRG00000015555
nomascus_leucogenys ENSNLEG00000028406
cebus_capucinus_imitator ENSCCAG00000025833
homo_sapiens ENSG00000163655
pan_paniscus ENSPPAG00000042787
gorilla_gorilla ENSGGOG00000017082
nomascus_leucogenys ENSNLEG00000003856
macaca_fascicularis ENSMFAG00000039350
macaca_mulatta ENSMMUG00000007324
papio_anubis ENSPANG00000017625
cercocebus_atys ENSCATG00000031121
theropithecus_gelada ENSTGEG00000003892
chlorocebus_sabaeus ENSCSAG00000012022
rhinopithecus_roxellana ENSRROG00000035915
rhinopithecus_bieti ENSRBIG00000019515
piliocolobus_tephrosceles ENSPTEG00000016502
colobus_angolensis_palliatus ENSCANG00000027748
cebus_capucinus_imitator ENSCCAG00000031267
saimiri_boliviensis_boliviensis ENSSBOG00000033046
callithrix_jacchus ENSCJAG00000000863
aotus_nancymaae ENSANAG00000036394
carlito_syrichta ENSTSYG00000009457
propithecus_coquereli ENSPCOG00000024460
prolemur_simus ENSPSMG00000003004
microcebus_murinus ENSMICG00000049568
microcebus_murinus ENSMICG00000035187
otolemur_garnettii ENSOGAG00000008523
tupaia_belangeri ENSTBEG00000000630
spermophilus_dauricus ENSSDAG00000004178
ictidomys_tridecemlineatus ENSSTOG00000026541
urocitellus_parryii ENSUPAG00010007230
marmota_marmota_marmota ENSMMMG00000015827
castor_canadensis ENSCCNG00000023380
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025978
mus_spicilegus ENSMSIG00000029546
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027823
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025038
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026482
rattus_norvegicus ENSRNOG00000051151
meriones_unguiculatus ENSMUGG00000022643
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018772
cricetulus_griseus_crigri_1.0 ENSCGRG00000002986
cricetulus_griseus_crigri-picr ENSCGRG00015022608
mesocricetus_auratus ENSMAUG00000009597
microtus_ochrogaster ENSMOCG00000021456
peromyscus_maniculatus_bairdii ENSPEMG00000009799
nannospalax_galili ENSNGAG00000019127
jaculus_jaculus ENSJJAG00000023127
dipodomys_ordii ENSDORG00000014996
oryctolagus_cuniculus ENSOCUG00000001480
