astyanax_mexicanus ENSAMXG00000037376
pygocentrus_nattereri ENSPNAG00000025143
ictalurus_punctatus ENSIPUG00000015416
danio_rerio ENSDARG00000058219
takifugu_rubripes ENSTRUG00000005354
tetraodon_nigroviridis ENSTNIG00000003336
mola_mola ENSMMOG00000004372
gasterosteus_aculeatus ENSGACG00000007016
scophthalmus_maximus ENSSMAG00000004126
poecilia_formosa ENSPFOG00000005581
poecilia_mexicana ENSPMEG00000013191
poecilia_latipinna ENSPLAG00000015794
poecilia_reticulata ENSPREG00000016574
xiphophorus_couchianus ENSXCOG00000000360
xiphophorus_maculatus ENSXMAG00000016973
gambusia_affinis ENSGAFG00000002428
cyprinodon_variegatus ENSCVAG00000013974
fundulus_heteroclitus ENSFHEG00000022865
kryptolebias_marmoratus ENSKMAG00000000289
oryzias_latipes_asm223467v1 ENSORLG00000012665
oryzias_latipes_asm223469v1 ENSORLG00015020483
oryzias_latipes_asm223471v1 ENSORLG00020012214
oryzias_melastigma ENSOMEG00000005007
monopterus_albus ENSMALG00000009627
mastacembelus_armatus ENSMAMG00000003847
anabas_testudineus ENSATEG00000002282
seriola_dumerili ENSSDUG00000011791
seriola_lalandi_dorsalis ENSSLDG00000017471
cynoglossus_semilaevis ENSCSEG00000001994
labrus_bergylta ENSLBEG00000011893
amphiprion_percula ENSAPEG00000020380
amphiprion_ocellaris ENSAOCG00000003256
acanthochromis_polyacanthus ENSAPOG00000014374
stegastes_partitus ENSSPAG00000017131
pundamilia_nyererei ENSPNYG00000010942
haplochromis_burtoni ENSHBUG00000006291
astatotilapia_calliptera ENSACLG00000002918
maylandia_zebra ENSMZEG00005012335
neolamprologus_brichardi ENSNBRG00000001764
oreochromis_niloticus ENSONIG00000005513
amphilophus_citrinellus ENSACIG00000012321
hippocampus_comes ENSHCOG00000011655
periophthalmus_magnuspinnatus ENSPMGG00000015751
gadus_morhua ENSGMOG00000008987
esox_lucius ENSELUG00000019274
paramormyrops_kingsleyae ENSPKIG00000012615
scleropages_formosus ENSSFOG00015002798
