castor_canadensis ENSCCNG00000008905
otolemur_garnettii ENSOGAG00000016154
ursus_maritimus ENSUMAG00000007211
marmota_marmota_marmota ENSMMMG00000016538
gorilla_gorilla ENSGGOG00000014995
gorilla_gorilla ENSGGOG00000016242
pan_troglodytes ENSPTRG00000010254
pan_paniscus ENSPPAG00000038754
homo_sapiens ENSG00000088256
pongo_abelii ENSPPYG00000009366
pan_troglodytes ENSPTRG00000019250
pan_paniscus ENSPPAG00000039731
gorilla_gorilla ENSGGOG00000041759
nomascus_leucogenys ENSNLEG00000002517
macaca_mulatta ENSMMUG00000002961
macaca_nemestrina ENSMNEG00000045417
macaca_fascicularis ENSMFAG00000041297
papio_anubis ENSPANG00000011891
theropithecus_gelada ENSTGEG00000013959
mandrillus_leucophaeus ENSMLEG00000004955
cercocebus_atys ENSCATG00000038504
chlorocebus_sabaeus ENSCSAG00000011235
piliocolobus_tephrosceles ENSPTEG00000020785
colobus_angolensis_palliatus ENSCANG00000039331
rhinopithecus_bieti ENSRBIG00000020274
rhinopithecus_roxellana ENSRROG00000032415
cebus_capucinus_imitator ENSCCAG00000022709
saimiri_boliviensis_boliviensis ENSSBOG00000017439
callithrix_jacchus ENSCJAG00000016160
aotus_nancymaae ENSANAG00000033019
carlito_syrichta ENSTSYG00000034586
mustela_putorius_furo ENSMPUG00000003649
pteropus_vampyrus ENSPVAG00000004593
panthera_tigris_altaica ENSPTIG00000007808
tursiops_truncatus ENSTTRG00000012285
sus_scrofa ENSSSCG00000029279
bos_taurus ENSBTAG00000012181
bos_mutus ENSBMUG00000012972
bison_bison_bison ENSBBBG00000006176
capra_hircus ENSCHIG00000012068
ovis_aries ENSOARG00000013076
equus_asinus_asinus ENSEASG00005022102
equus_caballus ENSECAG00000023654
ictidomys_tridecemlineatus ENSSTOG00000019951
urocitellus_parryii ENSUPAG00010008291
spermophilus_dauricus ENSSDAG00000007673
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021073
cricetulus_griseus_crigri-picr ENSCGRG00015022286
cricetulus_griseus_crigri_1.0 ENSCGRG00000002766
mesocricetus_auratus ENSMAUG00000004382
microtus_ochrogaster ENSMOCG00000001264
peromyscus_maniculatus_bairdii ENSPEMG00000020340
mus_spicilegus ENSMSIG00000023685
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016465
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000034781
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015647
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031060
rattus_norvegicus ENSRNOG00000005446
meriones_unguiculatus ENSMUGG00000010347
nannospalax_galili ENSNGAG00000018151
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018348
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006955
fukomys_damarensis ENSFDAG00000015935
chinchilla_lanigera ENSCLAG00000010957
octodon_degus ENSODEG00000015009
cavia_porcellus ENSCPOG00000036119
cavia_aperea ENSCAPG00000008243
prolemur_simus ENSPSMG00000022261
microcebus_murinus ENSMICG00000032000
propithecus_coquereli ENSPCOG00000024506
ursus_americanus ENSUAMG00000000074
ailuropoda_melanoleuca ENSAMEG00000005458
canis_lupus_dingo ENSCAFG00020018245
vulpes_vulpes ENSVVUG00000002939
felis_catus ENSFCAG00000044642
panthera_pardus ENSPPRG00000023842
myotis_lucifugus ENSMLUG00000006991
neovison_vison ENSNVIG00000006010
loxodonta_africana ENSLAFG00000011237
procavia_capensis ENSPCAG00000004779
dipodomys_ordii ENSDORG00000025425
jaculus_jaculus ENSJJAG00000018855
anolis_carolinensis ENSACAG00000023760
notechis_scutatus ENSNSUG00000015110
pogona_vitticeps ENSPVIG00000023095
salvator_merianae ENSSMRG00000017747
phascolarctos_cinereus ENSPCIG00000034212
notamacropus_eugenii ENSMEUG00000007673
monodelphis_domestica ENSMODG00000019142
sarcophilus_harrisii ENSSHAG00000006119
ornithorhynchus_anatinus ENSOANG00000003325
calidris_pygmaea ENSCPGG00000012428
calidris_pugnax ENSCPUG00000007461
parus_major ENSPMJG00000010893
lonchura_striata_domestica ENSLSDG00000009643
lepidothrix_coronata ENSLCOG00000012957
taeniopygia_guttata ENSTGUG00000000541
serinus_canaria ENSSCAG00000005541
cyanistes_caeruleus ENSCCEG00000000015
manacus_vitellinus ENSMVIG00005016130
ficedula_albicollis ENSFALG00000013892
zonotrichia_albicollis ENSZALG00000016969
junco_hyemalis ENSJHYG00000006178
melopsittacus_undulatus ENSMUNG00000001219
anser_brachyrhynchus ENSABRG00000003772
anas_platyrhynchos_platyrhynchos ENSAPLG00000004066
gallus_gallus ENSGALG00000003238
meleagris_gallopavo ENSMGAG00000011971
coturnix_japonica ENSCJPG00005009735
numida_meleagris ENSNMEG00000008031
apteryx_owenii ENSAOWG00000013311
apteryx_haastii ENSAHAG00000003683
apteryx_rowi ENSARWG00000010839
dromaius_novaehollandiae ENSDNVG00000013055
nothoprocta_perdicaria ENSNPEG00000001891
crocodylus_porosus ENSCPRG00005011942
gopherus_agassizii ENSGAGG00000019559
chelonoidis_abingdonii ENSCABG00000003212
chrysemys_picta_bellii ENSCPBG00000010843
pelodiscus_sinensis ENSPSIG00000014324
sphenodon_punctatus ENSSPUG00000009599
macaca_nemestrina ENSMNEG00000040511
microtus_ochrogaster ENSMOCG00000012700
xenopus_tropicalis ENSXETG00000014367
latimeria_chalumnae ENSLACG00000014531
eptatretus_burgeri ENSEBUG00000010345
