mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018966
mus_spicilegus ENSMSIG00000008042
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000056508
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018116
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029873
rattus_norvegicus ENSRNOG00000007184
meriones_unguiculatus ENSMUGG00000005902
cricetulus_griseus_crigri-picr ENSCGRG00015018455
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018000
cricetulus_griseus_crigri_1.0 ENSCGRG00000012812
mesocricetus_auratus ENSMAUG00000019531
microtus_ochrogaster ENSMOCG00000001086
peromyscus_maniculatus_bairdii ENSPEMG00000022271
nannospalax_galili ENSNGAG00000019348
jaculus_jaculus ENSJJAG00000002904
castor_canadensis ENSCCNG00000012818
cavia_aperea ENSCAPG00000007625
cavia_porcellus ENSCPOG00000025804
spermophilus_dauricus ENSSDAG00000017011
urocitellus_parryii ENSUPAG00010010932
marmota_marmota_marmota ENSMMMG00000003573
ictidomys_tridecemlineatus ENSSTOG00000025852
prolemur_simus ENSPSMG00000022955
capra_hircus ENSCHIG00000017705
ovis_aries ENSOARG00000003839
bos_mutus ENSBMUG00000014974
bos_taurus ENSBTAG00000016603
bison_bison_bison ENSBBBG00000023788
sus_scrofa ENSSSCG00000002536
equus_caballus ENSECAG00000033051
equus_asinus_asinus ENSEASG00005001626
ursus_maritimus ENSUMAG00000002498
ursus_americanus ENSUAMG00000018641
neovison_vison ENSNVIG00000009746
canis_lupus_familiaris ENSCAFG00000031259
canis_lupus_dingo ENSCAFG00020009175
felis_catus ENSFCAG00000039030
panthera_tigris_altaica ENSPTIG00000010382
loxodonta_africana ENSLAFG00000026257
dasypus_novemcinctus ENSDNOG00000041198
monodelphis_domestica ENSMODG00000013294
phascolarctos_cinereus ENSPCIG00000025184
