cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011542
cricetulus_griseus_crigri-picr ENSCGRG00015020683
cricetulus_griseus_crigri_1.0 ENSCGRG00000018968
peromyscus_maniculatus_bairdii ENSPEMG00000008098
mus_spicilegus ENSMSIG00000011063
meriones_unguiculatus ENSMUGG00000020756
nannospalax_galili ENSNGAG00000016894
jaculus_jaculus ENSJJAG00000001555
castor_canadensis ENSCCNG00000009422
microtus_ochrogaster ENSMOCG00000001784
microtus_ochrogaster ENSMOCG00000005746
cavia_porcellus ENSCPOG00000033325
cavia_aperea ENSCAPG00000012361
chinchilla_lanigera ENSCLAG00000017749
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000092
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000860
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001696
fukomys_damarensis ENSFDAG00000018600
homo_sapiens ENSG00000226650
nomascus_leucogenys ENSNLEG00000016700
macaca_fascicularis ENSMFAG00000004610
theropithecus_gelada ENSTGEG00000007086
chlorocebus_sabaeus ENSCSAG00000019720
rhinopithecus_bieti ENSRBIG00000033475
piliocolobus_tephrosceles ENSPTEG00000014710
aotus_nancymaae ENSANAG00000035770
colobus_angolensis_palliatus ENSCANG00000040845
myotis_lucifugus ENSMLUG00000026908
echinops_telfairi ENSETEG00000008629
notamacropus_eugenii ENSMEUG00000012050
fundulus_heteroclitus ENSFHEG00000017315
