monodelphis_domestica ENSMODG00000005899
sarcophilus_harrisii ENSSHAG00000013601
notamacropus_eugenii ENSMEUG00000000850
phascolarctos_cinereus ENSPCIG00000000964
erinaceus_europaeus ENSEEUG00000007070
sorex_araneus ENSSARG00000012668
bos_mutus ENSBMUG00000020935
bos_taurus ENSBTAG00000006691
ovis_aries ENSOARG00000008347
tursiops_truncatus ENSTTRG00000008068
sus_scrofa ENSSSCG00000025708
vicugna_pacos ENSVPAG00000005844
equus_caballus ENSECAG00000011344
pteropus_vampyrus ENSPVAG00000003724
myotis_lucifugus ENSMLUG00000012492
ursus_maritimus ENSUMAG00000020433
ursus_americanus ENSUAMG00000027820
ailuropoda_melanoleuca ENSAMEG00000012142
mustela_putorius_furo ENSMPUG00000011725
canis_lupus_dingo ENSCAFG00020023233
canis_lupus_familiaris ENSCAFG00000019161
vulpes_vulpes ENSVVUG00000029067
panthera_pardus ENSPPRG00000004441
panthera_tigris_altaica ENSPTIG00000007046
felis_catus ENSFCAG00000018801
neovison_vison ENSNVIG00000014179
capra_hircus ENSCHIG00000015956
piliocolobus_tephrosceles ENSPTEG00000021448
cricetulus_griseus_crigri-picr ENSCGRG00015001975
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009117
cricetulus_griseus_crigri_1.0 ENSCGRG00000006940
mesocricetus_auratus ENSMAUG00000008354
microtus_ochrogaster ENSMOCG00000002642
peromyscus_maniculatus_bairdii ENSPEMG00000018328
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034294
mus_spicilegus ENSMSIG00000027347
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031343
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033141
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031682
rattus_norvegicus ENSRNOG00000056558
nannospalax_galili ENSNGAG00000004762
jaculus_jaculus ENSJJAG00000001310
urocitellus_parryii ENSUPAG00010020245
ictidomys_tridecemlineatus ENSSTOG00000004338
marmota_marmota_marmota ENSMMMG00000011893
spermophilus_dauricus ENSSDAG00000011851
cavia_porcellus ENSCPOG00000001196
cavia_aperea ENSCAPG00000016393
chinchilla_lanigera ENSCLAG00000000789
octodon_degus ENSODEG00000001347
