labrus_bergylta ENSLBEG00000005419
oryzias_latipes_asm223469v1 ENSORLG00015008418
ciona_intestinalis ENSCING00000010019
ciona_intestinalis ENSCING00000014383
ciona_savignyi ENSCSAVG00000011068
ciona_intestinalis ENSCING00000004209
ciona_savignyi ENSCSAVG00000003945
ciona_savignyi ENSCSAVG00000003943
ciona_intestinalis ENSCING00000010358
ciona_savignyi ENSCSAVG00000007699
ciona_intestinalis ENSCING00000009124
ciona_intestinalis ENSCING00000009969
ciona_savignyi ENSCSAVG00000010162
ciona_intestinalis ENSCING00000016854
latimeria_chalumnae ENSLACG00000002229
notechis_scutatus ENSNSUG00000009458
petromyzon_marinus ENSPMAG00000000434
petromyzon_marinus ENSPMAG00000002891
petromyzon_marinus ENSPMAG00000001306
eptatretus_burgeri ENSEBUG00000005548
eptatretus_burgeri ENSEBUG00000006628
ciona_intestinalis ENSCING00000014384
ciona_savignyi ENSCSAVG00000007270
ciona_intestinalis ENSCING00000002382
drosophila_melanogaster FBgn0032618
