astatotilapia_calliptera ENSACLG00000012399
pundamilia_nyererei ENSPNYG00000017962
haplochromis_burtoni ENSHBUG00000002007
maylandia_zebra ENSMZEG00005009151
neolamprologus_brichardi ENSNBRG00000017483
mastacembelus_armatus ENSMAMG00000015338
amphiprion_ocellaris ENSAOCG00000017236
amphiprion_percula ENSAPEG00000018504
acanthochromis_polyacanthus ENSAPOG00000003022
anabas_testudineus ENSATEG00000019446
seriola_dumerili ENSSDUG00000003544
seriola_lalandi_dorsalis ENSSLDG00000023884
scophthalmus_maximus ENSSMAG00000005433
