periophthalmus_magnuspinnatus ENSPMGG00000021973
hippocampus_comes ENSHCOG00000005687
mola_mola ENSMMOG00000002675
takifugu_rubripes ENSTRUG00000023180
labrus_bergylta ENSLBEG00000025067
amphiprion_percula ENSAPEG00000001169
amphiprion_ocellaris ENSAOCG00000021584
acanthochromis_polyacanthus ENSAPOG00000008827
stegastes_partitus ENSSPAG00000012462
poecilia_mexicana ENSPMEG00000023759
poecilia_latipinna ENSPLAG00000013391
poecilia_formosa ENSPFOG00000012912
poecilia_reticulata ENSPREG00000020665
xiphophorus_maculatus ENSXMAG00000028284
xiphophorus_couchianus ENSXCOG00000007161
gambusia_affinis ENSGAFG00000011221
fundulus_heteroclitus ENSFHEG00000010314
cyprinodon_variegatus ENSCVAG00000018703
kryptolebias_marmoratus ENSKMAG00000000187
maylandia_zebra ENSMZEG00005014888
astatotilapia_calliptera ENSACLG00000005431
haplochromis_burtoni ENSHBUG00000016231
pundamilia_nyererei ENSPNYG00000013389
neolamprologus_brichardi ENSNBRG00000014615
amphilophus_citrinellus ENSACIG00000023542
monopterus_albus ENSMALG00000007108
mastacembelus_armatus ENSMAMG00000011924
anabas_testudineus ENSATEG00000003098
seriola_dumerili ENSSDUG00000000810
seriola_lalandi_dorsalis ENSSLDG00000014964
scophthalmus_maximus ENSSMAG00000015433
gasterosteus_aculeatus ENSGACG00000012724
cynoglossus_semilaevis ENSCSEG00000013778
oryzias_latipes_asm223471v1 ENSORLG00020010920
oryzias_latipes_asm223469v1 ENSORLG00015016829
oryzias_latipes_asm223467v1 ENSORLG00000029811
oryzias_melastigma ENSOMEG00000004836
gadus_morhua ENSGMOG00000012753
esox_lucius ENSELUG00000009846
astyanax_mexicanus ENSAMXG00000002324
astyanax_mexicanus ENSAMXG00000042067
pygocentrus_nattereri ENSPNAG00000028761
ictalurus_punctatus ENSIPUG00000009864
danio_rerio ENSDARG00000103484
paramormyrops_kingsleyae ENSPKIG00000021521
