theropithecus_gelada ENSTGEG00000010932
piliocolobus_tephrosceles ENSPTEG00000007038
prolemur_simus ENSPSMG00000004944
castor_canadensis ENSCCNG00000007950
dipodomys_ordii ENSDORG00000023771
mus_spicilegus ENSMSIG00000024844
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033883
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000032491
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032735
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015602
rattus_norvegicus ENSRNOG00000020936
meriones_unguiculatus ENSMUGG00000010741
peromyscus_maniculatus_bairdii ENSPEMG00000013742
microtus_ochrogaster ENSMOCG00000018123
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000554
cricetulus_griseus_crigri-picr ENSCGRG00015017509
cricetulus_griseus_crigri_1.0 ENSCGRG00000010017
mesocricetus_auratus ENSMAUG00000021777
nannospalax_galili ENSNGAG00000006969
jaculus_jaculus ENSJJAG00000008456
urocitellus_parryii ENSUPAG00010017013
chinchilla_lanigera ENSCLAG00000014776
octodon_degus ENSODEG00000012947
cavia_aperea ENSCAPG00000012926
cavia_porcellus ENSCPOG00000035419
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012965
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018641
fukomys_damarensis ENSFDAG00000005299
oryctolagus_cuniculus ENSOCUG00000025559
ursus_americanus ENSUAMG00000025543
ursus_maritimus ENSUMAG00000004103
ailuropoda_melanoleuca ENSAMEG00000012774
neovison_vison ENSNVIG00000022094
mustela_putorius_furo ENSMPUG00000015067
canis_lupus_familiaris ENSCAFG00000013404
canis_lupus_dingo ENSCAFG00020014799
vulpes_vulpes ENSVVUG00000003556
panthera_tigris_altaica ENSPTIG00000015002
panthera_pardus ENSPPRG00000010154
felis_catus ENSFCAG00000023441
myotis_lucifugus ENSMLUG00000030205
equus_caballus ENSECAG00000015037
equus_asinus_asinus ENSEASG00005008169
ovis_aries ENSOARG00000005435
capra_hircus ENSCHIG00000021095
bos_taurus ENSBTAG00000022598
bos_mutus ENSBMUG00000015508
bison_bison_bison ENSBBBG00000001270
sus_scrofa ENSSSCG00000011333
loxodonta_africana ENSLAFG00000027011
sarcophilus_harrisii ENSSHAG00000011454
phascolarctos_cinereus ENSPCIG00000025953
monodelphis_domestica ENSMODG00000014002
